model,n_features,training_time_sec,inference_time_sec,overall_accuracy_pct,mae,within_15_pct
baseline,5,0.16209419997176155,0.006394199968781322,35.551285130915204,76.13818691215148,35.551285130915204
graph_enhanced,31,0.1889188999775797,0.005650400009471923,45.568099927936586,59.684997142529895,45.568099927936586
graphsage_xgb,21,0.19555930001661181,0.006108200002927333,44.05476819601249,63.04331226394283,44.05476819601249
graphsage_lgbm,21,2.3579396999557503,0.021403899998404086,48.0903194811434,63.22574527186563,48.0903194811434
graphsage_mlp,21,1.5170349999680184,0.003187499998603016,31.395628152774442,89.60217261171215,31.395628152774442
graphsage_residual,31,0.26472649996867403,0.008682699990458786,40.643766514532786,61.8875131310321,40.643766514532786
node2vec_xgb,69,0.6712166999932379,0.011938899988308549,44.94355032428537,58.688991959216004,44.94355032428537
node2vec_enhanced,79,0.7341115999734029,0.009061300021130592,45.83233245255825,57.423629943553046,45.83233245255825
