center,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
IND121004AAB,7.77026,0.0,5.6169305,0.0,5.772521,0.0,0.0,7.0655704
IND302020AAA,3.0465071,0.0,2.2414997,0.0,3.2192938,0.0,0.0,2.9796638
IND311001AAA,3.1946595,0.0,2.6859848,0.0,3.2336016,0.009534933,0.0,3.0272644
IND400701AAA,0.13245483,0.0,0.2106022,0.0,0.26594678,0.0,0.0,0.11374645
IND221010AAA,8.707324,0.0,7.642653,0.59760106,8.806377,3.1359143,0.0,8.000188
IND743395AAA,4.5616107,0.0,3.7553124,0.0,4.5475173,0.97122896,0.0,4.111034
IND580030AAA,3.41483,0.0,3.1367786,0.0,3.7733896,0.8028464,0.0,3.218249
IND530026AAA,0.15479782,0.0,0.11954392,0.0,0.20663258,0.0,0.0,0.18191114
IND400701AAB,4.121123,0.0,2.2422216,0.0,3.8789043,0.0,0.0,3.9337707
IND388320AAA,3.278875,0.0,2.1978393,0.0,2.299394,0.0,0.0,2.9587624
IND614809AAA,2.3469932,0.0,1.8884374,0.0,2.3490264,0.0,0.0,2.1764295
IND364270AAA,0.28482315,0.0,0.10694627,0.0,0.13304609,0.0,0.0,0.19837311
IND247667AAA,3.1927967,0.0,1.9533249,0.0,3.1016364,0.0,0.0,3.080023
IND421302AAH,4.086265,0.0,3.6445892,0.4931689,4.027594,1.3039169,0.0,3.8203962
IND501141AAA,2.9632044,0.0,1.4260315,0.0,2.5662372,0.0,0.0,2.699276
IND000000AFT,5.4723535,0.0,3.452933,0.0,3.6047637,0.0,0.0,4.708498
IND500008AAC,3.4407105,0.0,1.7080823,0.0,2.7558746,0.0,0.0,3.1052306
IND563131AAA,2.5242786,0.0,1.9525498,0.0,2.4727287,0.0,0.0,2.3691142
IND222001AAA,3.8969343,0.0,3.4509666,0.0,4.215002,0.2169711,0.0,3.528248
IND606105AAA,2.5322478,0.0,2.0631433,0.0,2.4978237,0.26314265,0.0,2.2929957
IND246001AAA,0.16277963,0.0,0.007672794,0.0,0.1922831,0.0,0.0,0.15709183
IND742121AAB,8.683032,0.0,7.092522,0.11396597,8.250448,2.3181205,0.0,7.6394897
IND263002AAA,2.290096,0.0,1.6875386,0.0,2.307234,0.0,0.0,2.2328665
IND400705AAA,0.2607818,0.0,0.107065775,0.0,0.12546468,0.0,0.0,0.24090594
