source_center,destination_center,source_name,destination_name,median_factor,total_trips,median_osrm_dist_km,pct_delayed,is_sparse,is_chronically_delayed
IND131028AAB,IND247667AAA,Sonipat_Kundli_H (Haryana),Roorkee_Dc (Uttarakhand),1.9640287769784173,5,163.0853,1.0,False,True
IND424006AAA,IND424101AAA,Dhule_MIDCAvdn_I (Maharashtra),Chalisgaon_BhadgDPP_D (Maharashtra),1.9639953542392568,8,57.04905,1.0,False,True
IND826004AAA,IND815301AAA,Dhanbad_Kalynpur_I (Jharkhand),Giridih_Shivalya_D (Jharkhand),1.963636363636364,5,63.5423,1.0,False,True
IND533308AAB,IND533106AAA,Mandapeta_Mainrd_D (Andhra Pradesh),Rajamundry_AtoNgrRd_I (Andhra Pradesh),1.962962962962963,1,33.3582,1.0,True,True
IND574104AAA,IND574216AAA,Karkala_MarketRd_D (Karnataka),Dhrmsthala_Beltngdi_D (Karnataka),1.9620912684153793,11,52.426625,1.0,False,True
IND209304AAA,IND000000ACB,Kanpur_Central_H_6 (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),1.9603658536585369,35,445.7063,1.0,False,True
IND834002AAB,IND000000ACB,Ranchi_Hub (Jharkhand),Gurgaon_Bilaspur_HB (Haryana),1.9600938967136152,10,1162.42705,1.0,False,True
IND123401AAB,IND123106AAB,Rewari_YuktiDPP_D (Haryana),Dharuhera_Central_DPP_2 (Haryana),1.9600000000000002,10,53.46755,1.0,False,True
IND476111AAA,IND477001AAA,Ambah_MrenTirh_D (Madhya Pradesh),Bhind_BhrolDPP_D (Madhya Pradesh),1.9598039215686274,6,65.12755000000001,1.0,False,True
IND206001AAA,IND000000ACB,Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),1.9594093910491561,20,310.43625,1.0,False,True
IND306401AAB,IND302014AAA,Pali_Nayagaon_I (Rajasthan),Jaipur_Hub (Rajasthan),1.958715596330275,17,301.4806,1.0,False,True
IND305601AAC,IND305001AAC,Nasirabad_Central_DPP_2 (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),1.957516339869281,18,38.659549999999996,1.0,False,True
IND751015AAA,IND752056AAA,Bhubaneshwar_Nayapalli (Orissa),Khurdha_MdhsnDPP_D (Orissa),1.9572192513368982,6,25.29655,1.0,False,True
IND560043AAC,IND560099AAB,HBR Layout PC (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),1.9563025210084035,24,28.36275,0.875,False,True
IND793150AAA,IND781018AAB,Jowai_Ldthlabh_D (Meghalaya),Guwahati_Hub (Assam),1.956204379562044,1,182.8514,1.0,True,True
IND827013AAA,IND829121AAA,Bokaro_KSClny_DC (Jharkhand),Peterbar_GagiDPP_D (Jharkhand),1.955862068965517,5,37.432675,1.0,False,True
IND505209AAA,IND505001AAB,Ramagundam_Pdmavati_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),1.9555555555555555,3,64.2987,1.0,True,True
IND403726AAA,IND575004AAB,Goa_Hub (Goa),Mangalore_Kuntikna_H (Karnataka),1.9553017311775274,2,353.0259,1.0,True,True
IND733129AAB,IND733129AAA,Kaliyaganj_Central_DPP_1 (West Bengal),Kaliyaganj_FatprDPP_D (West Bengal),1.952380952380952,5,24.7278,1.0,False,True
IND000000ACB,IND125005AAA,Gurgaon_Bilaspur_HB (Haryana),Hisar_IndstlAr_I (Haryana),1.9522058823529411,4,170.56535,1.0,True,True
IND781018AAB,IND781003AAA,Guwahati_Hub (Assam),Guwahati_Chandmari (Assam),1.951219512195122,7,32.715,0.5714285714285714,False,True
IND572101AAA,IND561203AAB,Tumkur_Veersagr_I (Karnataka),Doddablpur_ChikaDPP_D (Karnataka),1.951219512195122,12,56.97095,1.0,False,True
IND403726AAA,IND411033AAA,Goa_Hub (Goa),Pune_Tathawde_H (Maharashtra),1.9510694831938358,14,510.20285,1.0,False,True
IND000000ACB,IND521225AAB,Gurgaon_Bilaspur_HB (Haryana),Vijayawada_Rynapadu_H (Andhra Pradesh),1.9508580343213728,11,1728.231,1.0,False,True
IND532222AAA,IND761200AAA,Palasa_Central_DPP_1 (Andhra Pradesh),Paralakhemundi_Ward14_D (Orissa),1.9508196721311477,11,59.5442,1.0,False,True
