source_center,destination_center,route_type,tod_bucket,median_factor,trip_count,median_osrm_dist,median_osrm_time,pct_delayed
IND000000ACB,IND125001AAA,FTL,afternoon,1.7827342047930284,2,170.458,135.5,1.0
IND000000ACB,IND125005AAA,FTL,afternoon,1.9522058823529411,4,170.56535,135.5,1.0
IND000000ACB,IND125033AAA,FTL,morning,2.286087570621469,2,152.07659999999998,119.0,1.0
IND000000ACB,IND127021AAA,FTL,afternoon,1.8585858585858583,1,123.8015,99.0,1.0
IND000000ACB,IND131028AAB,Carting,night,2.082474226804124,25,86.291,97.0,1.0
IND000000ACB,IND131028AAB,Carting,morning,2.0309278350515463,13,86.1295,97.0,1.0
IND000000ACB,IND131028AAB,Carting,afternoon,2.333333333333333,19,86.1685,97.0,1.0
IND000000ACB,IND131028AAB,Carting,evening,2.1522366522366525,16,122.72505,98.0,1.0
IND000000ACB,IND160002AAC,FTL,night,2.8820754716981134,13,280.8526,212.0,1.0
IND000000ACB,IND160002AAC,FTL,morning,2.4312796208530805,13,280.2205,211.0,1.0
IND000000ACB,IND160002AAC,FTL,afternoon,2.042654028436019,9,280.2818,211.0,1.0
IND000000ACB,IND160002AAC,FTL,evening,2.146919431279621,6,279.66415,211.0,1.0
IND000000ACB,IND201007AAA,Carting,night,1.722111222111222,4,72.70955000000001,77.0,1.0
IND000000ACB,IND201007AAA,Carting,afternoon,1.7148302148302148,2,72.06635,76.0,1.0
IND000000ACB,IND201007AAA,Carting,evening,1.155844155844156,3,72.8915,77.0,0.3333333333333333
IND000000ACB,IND201301AAF,Carting,night,1.9780448717948718,4,76.2246,79.0,1.0
IND000000ACB,IND201301AAF,Carting,afternoon,1.6730769230769231,2,74.05685,78.0,1.0
IND000000ACB,IND201301AAF,Carting,evening,1.205128205128205,3,74.7196,79.0,0.6666666666666666
IND000000ACB,IND201301AAM,Carting,night,2.625,9,79.85239999999999,81.0,1.0
IND000000ACB,IND201301AAM,Carting,afternoon,3.3679614573923518,8,80.7387,82.0,1.0
IND000000ACB,IND201301AAM,Carting,evening,2.5514252130473114,10,80.40950000000001,82.0,1.0
IND000000ACB,IND209304AAA,FTL,night,2.289719626168224,3,444.3207,321.0,1.0
IND000000ACB,IND209304AAA,FTL,evening,2.2616822429906542,7,444.3858,321.0,1.0
IND000000ACB,IND282002AAD,FTL,morning,2.073529411764706,3,183.7427,137.0,1.0
IND000000ACB,IND301001AAB,FTL,morning,1.8534400382226468,2,114.779,91.5,1.0
IND000000ACB,IND301001AAB,FTL,afternoon,1.7142857142857142,4,114.76365,91.0,1.0
IND000000ACB,IND301705AAA,FTL,evening,3.75,1,62.9226,56.0,1.0
IND000000ACB,IND302014AAA,FTL,night,1.8938739993038634,12,221.17495,168.0,1.0
IND000000ACB,IND302014AAA,FTL,morning,1.8994082840236688,11,221.603,169.0,1.0
IND000000ACB,IND302014AAA,FTL,afternoon,2.1124260355029585,1,221.2842,169.0,1.0
IND000000ACB,IND302022AAD,FTL,afternoon,1.683431952662722,12,221.767,169.0,1.0
IND000000ACB,IND302022AAD,FTL,evening,1.77376607731283,2,221.15825,168.0,1.0
IND000000ACB,IND328001AAA,FTL,morning,1.818181818181818,5,244.709,198.0,1.0
IND000000ACB,IND382430AAB,FTL,afternoon,1.7876386687797148,1,872.0785999999999,631.0,1.0
IND000000ACB,IND382430AAB,FTL,evening,1.8322784810126582,12,873.1187,632.0,1.0
IND000000ACB,IND390022AAA,FTL,evening,1.7926606265419942,8,913.333,695.0,1.0
IND000000ACB,IND411033AAA,FTL,night,1.6534653465346534,1,1361.7745,1010.0,1.0
IND000000ACB,IND411033AAA,FTL,evening,1.7488960717818285,14,1361.7233999999999,1011.0,1.0
IND000000ACB,IND421302AAG,FTL,morning,1.9958463136033229,3,1322.4025,963.0,1.0
IND000000ACB,IND421302AAG,FTL,afternoon,1.9148494288681204,10,1322.71695,963.0,1.0
IND000000ACB,IND421302AAG,FTL,evening,1.9511941848390448,13,1322.6168,963.0,1.0
IND000000ACB,IND462022AAA,FTL,night,1.848759283000127,12,814.004,588.0,1.0
IND000000ACB,IND474003AAA,FTL,morning,4.475174978127734,2,304.9602,253.0,1.0
IND000000ACB,IND501359AAE,FTL,night,1.8803590145304896,8,1562.9917999999998,1165.5,1.0
IND000000ACB,IND501359AAE,FTL,afternoon,2.085763293310463,9,1563.1945,1166.0,1.0
IND000000ACB,IND501359AAE,FTL,evening,1.8935975677088317,4,1563.0126500000001,1165.5,1.0
IND000000ACB,IND521225AAB,FTL,night,2.0327613104524183,5,1728.379,1282.0,1.0
IND000000ACB,IND562132AAA,FTL,night,1.9115879752431477,10,2063.5355,1508.0,1.0
IND000000ACB,IND562132AAA,FTL,morning,1.8833260384641752,20,2064.1287,1509.0,1.0
IND000000ACB,IND562132AAA,FTL,afternoon,1.9440349075524779,6,2064.3228,1509.0,1.0
IND000000ACB,IND562132AAA,FTL,evening,1.9069205078579299,8,2064.5669,1509.0,1.0
IND000000ACB,IND600056AAB,FTL,night,1.8814400993171945,5,2190.6314,1610.0,1.0
IND000000ACB,IND600056AAB,FTL,morning,1.891304347826087,5,2190.5305,1610.0,1.0
IND000000ACB,IND712311AAA,FTL,night,2.035906324762502,10,1428.8101500000002,1017.0,1.0
IND000000ACB,IND712311AAA,FTL,afternoon,2.2245209650517825,12,1428.4488000000001,1016.0,1.0
IND000000ACB,IND712311AAA,FTL,evening,1.8966011791629493,12,1427.8969000000002,1016.0,1.0
IND000000ACB,IND751002AAB,FTL,night,2.0599828620394174,11,1638.9641,1167.0,1.0
IND000000ACB,IND751002AAB,FTL,evening,2.003887250640288,2,1639.11095,1167.0,1.0
IND000000ACB,IND821115AAB,FTL,night,2.074260339456697,14,901.24055,646.0,1.0
IND000000ACB,IND834002AAB,FTL,night,1.8989962099270121,8,1192.93475,851.0,1.0
IND000000ACB,IND834002AAB,FTL,evening,1.808460634547591,1,1192.8577,851.0,1.0
IND000000ACB,IND842001AAA,FTL,night,2.051457510515565,12,995.48165,737.5,1.0
IND000000ACK,IND501359AAF,Carting,afternoon,3.0811688311688314,22,26.21835,21.0,1.0
IND000000ACN,IND501359AAF,Carting,afternoon,2.0588235294117645,5,20.9717,17.0,1.0
IND000000ACN,IND501359AAF,Carting,evening,1.8611111111111112,6,21.9435,18.0,1.0
IND000000ACT,IND000000ACB,Carting,night,1.675,9,41.8695,40.0,1.0
IND000000ACT,IND000000ACB,Carting,morning,1.8461538461538465,5,43.6584,41.0,1.0
IND000000ACT,IND000000ACB,Carting,afternoon,2.8048780487804876,2,42.55885,41.0,1.0
IND000000ACT,IND000000ACB,Carting,evening,1.5238095238095235,17,43.7657,42.0,0.8823529411764706
IND000000ACT,IND000000ACB,FTL,evening,1.186046511627907,38,43.764700000000005,42.5,0.4473684210526316
IND000000ACT,IND131028AAB,Carting,morning,2.2078201970443345,2,44.06405,57.0,1.0
IND000000ACT,IND131028AAB,Carting,afternoon,1.8392857142857142,16,43.3868,56.0,1.0
IND000000ACT,IND131028AAB,Carting,evening,1.407878217200251,14,43.7996,56.0,0.8571428571428571
IND000000ACT,IND160002AAC,FTL,night,2.031844534504109,12,226.3204,188.0,1.0
IND000000ACT,IND160002AAC,FTL,morning,2.13349072704517,2,225.94385,187.5,1.0
IND000000ADV,IND600044AAC,Carting,afternoon,2.027027027027027,9,47.8048,37.0,1.0
IND000000ADV,IND600044AAC,Carting,evening,2.1073968705547657,2,48.1895,37.5,1.0
IND000000AEL,IND000000ACB,Carting,morning,1.8305084745762712,3,63.4528,59.0,1.0
IND000000AEL,IND000000ACB,Carting,afternoon,1.777323202805377,2,63.18025,58.5,1.0
IND000000AEL,IND000000ACB,Carting,evening,1.8461426066627704,10,62.9844,58.0,1.0
IND000000AEM,IND110037AAB,Carting,night,5.320512820512821,4,40.24935,39.0,1.0
IND000000AEM,IND110037AAB,Carting,morning,4.722721437740693,4,39.32855,38.0,1.0
IND000000AEM,IND110037AAB,Carting,evening,2.282051282051282,3,39.8704,39.0,1.0
IND000000AEM,IND110064AAB,Carting,night,2.1087962962962967,10,53.1073,55.0,1.0
IND000000AEM,IND110064AAB,Carting,morning,1.6181818181818182,1,53.5163,55.0,1.0
IND000000AET,IND000000AAS,FTL,afternoon,2.4646938775510203,8,68.7217,48.5,1.0
IND000000AFF,IND734203AAA,FTL,afternoon,4.842105263157895,3,27.8663,19.0,1.0
IND000000AFG,IND673027AAB,FTL,night,1.826086956521739,1,41.4264,46.0,1.0
IND000000AFJ,IND695121AAA,Carting,night,1.0769230769230769,11,18.401,26.0,0.09090909090909091
IND000000AFJ,IND695121AAA,Carting,evening,1.0,2,23.07405,27.0,0.0
IND000000AFJ,IND695572AAB,Carting,evening,2.2222222222222223,1,22.1852,27.0,1.0
IND000000AFR,IND683511AAA,Carting,night,2.171875,6,28.6496,32.0,1.0
IND000000AFT,IND400072AAB,Carting,evening,1.923684210526316,6,21.3712,19.0,1.0
IND000000AFT,IND400706AAA,Carting,night,5.222222222222222,1,18.1351,18.0,1.0
IND000000AFT,IND410206AAA,Carting,morning,3.066666666666667,1,19.3999,15.0,1.0
IND000000AFT,IND410206AAB,Carting,morning,3.117647058823529,1,20.5299,17.0,1.0
IND000000AFT,IND410209AAA,Carting,night,2.2404761904761905,12,18.35,15.0,1.0
IND000000AFT,IND410209AAA,Carting,morning,2.25,9,17.3008,14.0,1.0
IND000000AFT,IND410209AAA,Carting,evening,4.733333333333333,1,16.0711,15.0,1.0
IND000000AFT,IND410210AAA,Carting,night,2.0204678362573096,4,19.186549999999997,18.5,1.0
IND000000AFT,IND410210AAA,Carting,evening,3.8461538461538463,5,16.7368,14.0,1.0
IND000000AFT,IND421302AAG,Carting,night,2.8232323232323235,2,22.5644,20.0,1.0
IND000000AFT,IND421302AAG,Carting,morning,3.05,1,22.8949,20.0,1.0
IND000000AFT,IND421302AAG,Carting,evening,2.20995670995671,6,23.5071,21.5,1.0
IND110014AAA,IND110024AAA,Carting,night,3.3636363636363638,4,11.38765,11.0,1.0
IND110014AAA,IND110024AAA,Carting,morning,3.4285714285714284,5,9.8829,8.0,1.0
IND110020AAB,IND110037AAM,Carting,morning,3.937747035573123,4,26.3062,23.5,1.0
IND110024AAA,IND110014AAA,Carting,night,2.2152777777777777,2,10.15045,8.5,1.0
IND110024AAA,IND110014AAA,Carting,morning,3.142857142857143,3,9.3453,7.0,1.0
IND110024AAA,IND110014AAA,Carting,evening,2.0,1,9.24,7.0,1.0
IND110030AAD,IND000000ACB,Carting,night,4.7643026004728135,2,45.98255,46.0,1.0
IND110030AAD,IND000000ACB,Carting,morning,5.766608771168041,2,45.959250000000004,48.0,1.0
IND110030AAD,IND000000ACB,Carting,evening,1.6595744680851063,3,45.9485,48.0,1.0
IND110035AAC,IND110037AAM,Carting,morning,1.6666666666666667,1,20.348,18.0,1.0
IND110035AAC,IND110037AAM,Carting,evening,1.35,1,21.8982,20.0,1.0
IND110037AAK,IND000000ACB,Carting,night,2.918918918918919,13,38.8735,38.0,1.0
IND110037AAK,IND000000ACB,Carting,morning,1.8421052631578947,1,38.6959,38.0,1.0
IND110037AAK,IND000000ACB,Carting,afternoon,1.4,1,39.8845,40.0,1.0
IND110037AAK,IND000000ACB,Carting,evening,1.6842105263157894,19,38.7407,38.0,1.0
IND110037AAM,IND000000ACB,FTL,night,1.5424418604651162,12,44.05995,43.0,1.0
IND110037AAM,IND110020AAB,Carting,morning,3.880740740740741,6,26.762549999999997,25.5,1.0
IND110037AAM,IND110024AAA,Carting,night,2.72,11,24.7317,24.0,1.0
IND110037AAM,IND110035AAC,Carting,night,7.777777777777778,1,23.5443,27.0,1.0
IND110037AAM,IND110035AAC,Carting,morning,3.045238095238095,12,18.5679,20.5,1.0
IND110037AAM,IND110035AAC,Carting,evening,1.6171052631578946,12,18.797600000000003,21.0,0.75
IND110037AAM,IND110064AAA,Carting,night,2.1875,1,12.964,16.0,1.0
IND110037AAM,IND110085AAB,Carting,night,2.0384615384615383,14,22.31185,24.5,1.0
IND110037AAM,IND110092AAC,Carting,night,2.193548387096774,1,27.751,31.0,1.0
IND110037AAM,IND121004AAB,Carting,night,3.383333333333333,12,30.51775,30.0,1.0
IND110037AAM,IND121004AAB,Carting,afternoon,2.3293650793650795,10,28.89795,26.5,1.0
IND110037AAM,IND121004AAB,Carting,evening,1.793103448275862,13,28.3895,26.0,1.0
IND110037AAM,IND125001AAA,FTL,night,4.015037593984962,1,164.5073,133.0,1.0
IND110037AAM,IND131028AAB,Carting,morning,2.210526315789474,1,44.0332,57.0,1.0
IND110037AAM,IND201001AAC,Carting,evening,2.8043478260869565,1,41.939800000000005,46.0,1.0
IND110037AAM,IND201007AAA,Carting,night,2.492016806722689,6,30.137050000000002,34.5,1.0
IND110037AAM,IND201301AAD,Carting,night,3.8776061776061783,2,32.23675,36.0,1.0
IND110037AAM,IND201301AAD,Carting,morning,4.567567567567568,1,33.1542,37.0,1.0
IND110037AAM,IND201301AAF,Carting,night,2.1538461538461537,5,35.1773,39.0,1.0
IND110037AAM,IND202001AAB,FTL,night,1.984615384615385,9,153.0239,130.0,1.0
IND110037AAM,IND202001AAB,FTL,morning,1.821705426356589,1,153.00029999999998,129.0,1.0
IND110037AAM,IND202001AAB,FTL,afternoon,1.737298747763864,10,152.872,129.0,1.0
IND110037AAM,IND209304AAA,FTL,night,2.1669065387348967,14,465.3202,335.5,1.0
IND110037AAM,IND209304AAA,FTL,morning,2.108108108108108,1,464.8311,333.0,1.0
IND110037AAM,IND209304AAA,FTL,evening,2.095808383233533,3,466.1647,335.0,1.0
IND110037AAM,IND226004AAC,FTL,evening,1.8293333333333333,1,489.2995,375.0,1.0
IND110037AAM,IND282001AAA,FTL,night,2.0135135135135136,1,202.2475,148.0,1.0
IND110037AAM,IND282001AAA,FTL,morning,3.728476821192053,1,203.1196,151.0,1.0
IND110037AAM,IND282001AAC,FTL,night,2.1059602649006623,1,202.6035,151.0,1.0
IND110037AAM,IND282002AAD,FTL,afternoon,1.966887417218543,1,206.0601,151.0,1.0
IND110037AAM,IND421302AAG,FTL,night,2.0150451354062184,11,1367.7966,997.0,1.0
IND110037AAM,IND421302AAG,FTL,evening,2.0179788221956896,2,1367.5605500000001,997.5,1.0
IND110037AAM,IND811399AAA,FTL,afternoon,2.684984520123839,4,31.92685,36.0,0.75
IND110037AAM,IND811399AAA,FTL,evening,1.108108108108108,3,32.1747,37.0,0.3333333333333333
IND110039AAA,IND110085AAB,Carting,night,6.428571428571429,1,11.9859,14.0,1.0
IND110039AAA,IND110085AAB,Carting,morning,3.4291666666666663,2,13.67685,15.5,1.0
IND110043AAA,IND000000ACB,Carting,night,4.446052631578947,2,39.365750000000006,39.0,1.0
IND110043AAA,IND000000ACB,Carting,morning,9.078947368421051,1,38.8237,38.0,1.0
IND110043AAA,IND000000ACB,Carting,evening,3.1960526315789473,2,39.3805,39.0,1.0
IND110043AAA,IND110078AAA,Carting,night,1.6666666666666667,11,18.7668,21.0,0.9090909090909091
IND110043AAA,IND110078AAA,Carting,morning,1.7,11,19.3881,22.0,1.0
IND110043AAC,IND000000ACB,Carting,evening,1.6206896551724137,1,55.6689,58.0,1.0
IND110044AAB,IND000000ACB,Carting,morning,2.098360655737705,8,65.28465,61.0,1.0
IND110044AAB,IND000000ACB,Carting,afternoon,1.7633928571428572,26,65.5479,61.0,1.0
IND110044AAB,IND000000ACB,Carting,evening,1.6885245901639343,25,65.60730000000001,61.0,1.0
IND110044AAB,IND110030AAD,Carting,afternoon,1.5555555555555556,3,13.8958,16.0,1.0
IND110044AAB,IND110030AAD,Carting,evening,1.7333333333333334,19,13.4471,15.0,1.0
IND110044AAB,IND110037AAM,Carting,night,2.0476190476190474,3,24.686,23.0,1.0
IND110044AAB,IND131028AAB,Carting,afternoon,2.111111111111111,15,43.7569,53.0,1.0
IND110044AAB,IND131028AAB,Carting,evening,1.3584905660377358,13,43.8175,53.0,1.0
IND110044AAB,IND201007AAA,Carting,afternoon,2.8260869565217392,4,19.76195,23.0,1.0
IND110044AAB,IND201007AAA,Carting,evening,2.347826086956522,7,20.0991,23.0,1.0
IND110044AAB,IND201301AAF,Carting,afternoon,2.4642857142857144,4,12.7261,14.0,1.0
IND110044AAB,IND201301AAF,Carting,evening,1.6111111111111112,3,14.3425,15.0,1.0
IND110052AAA,IND000000ACB,Carting,night,1.8870967741935485,1,66.94539999999999,62.0,1.0
IND110052AAA,IND000000ACB,Carting,evening,1.646153846153846,9,67.8112,64.0,1.0
IND110064AAA,IND000000ACB,Carting,night,13.281493506493508,2,59.533699999999996,55.5,1.0
IND110064AAA,IND000000ACB,Carting,morning,11.935185185185185,10,57.75335,54.0,1.0
IND110064AAA,IND000000ACB,Carting,evening,1.3703703703703702,14,57.647149999999996,53.5,1.0
IND110064AAA,IND110005AAA,Carting,night,3.0,1,10.6435,11.0,1.0
IND110078AAA,IND110043AAA,Carting,night,2.4,3,19.919400000000003,21.0,1.0
IND110078AAA,IND110043AAA,Carting,morning,3.1904761904761907,5,19.4852,21.0,1.0
IND110083AAA,IND110085AAB,Carting,night,2.9411764705882355,1,14.7983,17.0,1.0
IND110085AAB,IND000000ACB,Carting,night,2.3846153846153846,1,68.3271,65.0,1.0
IND110085AAB,IND000000ACB,Carting,morning,4.40625,3,66.7577,62.0,1.0
IND110085AAB,IND000000ACB,Carting,evening,2.1875,3,67.5514,64.0,1.0
IND110085AAB,IND110039AAA,Carting,night,1.1339285714285714,2,12.64865,15.0,0.0
IND110085AAB,IND110039AAA,Carting,morning,2.3854166666666665,2,14.3128,17.0,1.0
IND110085AAB,IND110083AAA,Carting,night,4.0,3,11.9201,15.0,1.0
IND110085AAB,IND110085AAA,Carting,afternoon,2.076923076923077,1,11.4111,13.0,1.0
IND110085AAB,IND110087AAA,Carting,night,1.0769230769230769,1,11.9669,13.0,0.0
IND110085AAB,IND110087AAA,Carting,morning,2.6923076923076925,2,11.632200000000001,13.0,1.0
IND110092AAC,IND000000ACB,Carting,night,2.098360655737705,1,62.5189,61.0,1.0
IND110092AAC,IND000000ACB,Carting,morning,2.632992327365729,2,69.3272,68.5,1.0
IND110092AAC,IND000000ACB,Carting,evening,1.9411764705882355,3,69.3029,68.0,1.0
IND110092AAC,IND110093AAA,Carting,evening,3.25,1,12.8317,16.0,1.0
IND110093AAA,IND110092AAC,Carting,night,3.2222222222222223,1,15.547,18.0,1.0
IND110095AAB,IND000000ACB,Carting,evening,1.5211267605633805,1,71.6641,71.0,1.0
IND121001AAA,IND121004AAB,Carting,night,1.818181818181818,11,11.9549,11.0,1.0
IND121001AAA,IND121004AAB,Carting,morning,2.25,10,12.2605,11.0,1.0
IND121002AAB,IND000000ACB,Carting,night,2.09375,3,71.01089999999999,65.0,1.0
IND121002AAB,IND000000ACB,Carting,morning,2.629971590909091,4,77.9882,65.5,1.0
IND121002AAB,IND000000ACB,Carting,afternoon,1.5153846153846153,2,77.69955,65.0,1.0
IND121002AAB,IND000000ACB,Carting,evening,2.417910447761194,15,71.7365,66.0,1.0
IND121004AAA,IND121004AAB,Carting,night,2.3833333333333333,8,17.2934,13.5,1.0
IND121004AAA,IND121004AAB,Carting,morning,1.9375,1,18.0291,16.0,1.0
IND121004AAB,IND000000ACB,Carting,morning,1.818181818181818,11,75.8908,65.0,1.0
IND121004AAB,IND000000ACB,Carting,evening,1.8692307692307693,10,70.71915000000001,65.0,1.0
IND121004AAB,IND110037AAM,Carting,night,2.8,8,29.311550000000004,26.5,1.0
IND121004AAB,IND110037AAM,Carting,morning,2.833333333333333,5,28.4452,25.0,1.0
IND121004AAB,IND110037AAM,Carting,evening,1.851851851851852,13,29.1898,26.0,1.0
IND121004AAB,IND121001AAA,Carting,night,1.9333333333333331,7,11.5437,11.0,1.0
IND121004AAB,IND121001AAA,Carting,morning,1.6666666666666667,11,11.275,10.0,1.0
IND121004AAB,IND121004AAA,Carting,night,1.5,3,16.9931,12.0,1.0
IND121004AAB,IND121004AAA,Carting,morning,1.8461538461538463,8,16.546799999999998,12.5,1.0
IND121004AAB,IND121004AAA,Carting,evening,1.9166666666666667,3,16.941,13.0,1.0
IND121004AAB,IND121004AAC,Carting,night,1.8397435897435899,2,16.631349999999998,12.5,1.0
IND121004AAB,IND121004AAC,Carting,morning,1.9615384615384615,6,16.51575,12.5,1.0
IND121004AAB,IND121004AAC,Carting,evening,5.846153846153846,1,17.1268,13.0,1.0
IND121004AAB,IND121102AAA,Carting,night,1.6666666666666667,13,40.2833,29.0,1.0
IND121004AAB,IND121102AAA,Carting,morning,1.9642857142857144,15,40.7359,29.0,1.0
IND121004AAC,IND121004AAB,Carting,night,6.471153846153846,2,16.12675,12.5,1.0
IND121004AAC,IND121004AAB,Carting,morning,8.7,1,12.9217,10.0,1.0
IND121102AAA,IND121004AAB,Carting,night,4.2,11,40.2548,29.0,1.0
IND122001AAA,IND000000ACB,Carting,evening,1.5294117647058822,13,35.8336,34.0,0.9230769230769231
IND122001AAA,IND122001AAD,Carting,night,3.1538461538461537,1,12.7244,13.0,1.0
IND122001AAA,IND122001AAD,Carting,morning,3.3916666666666666,2,11.71015,11.0,1.0
IND122001AAA,IND122101AAC,Carting,morning,1.375,1,13.6755,16.0,1.0
IND122001AAD,IND122050AAA,Carting,night,1.1791979949874687,2,16.75085,20.0,0.5
IND122001AAD,IND122050AAA,Carting,morning,2.5630952380952383,6,16.741149999999998,20.0,1.0
