distance_band,route_type,n_dispatches,pct_recommend_ftl,n_switch,avg_minutes_saved_if_switch,avg_extra_cost_if_switch,avg_break_even_vot,pct_extrapolated
0-25km,Carting,1346,0.8172362555720655,11,130.6562875443899,2236.5440909090908,198.67386556031528,16.196136701337295
0-25km,FTL,149,0.0,149,2.7658095971073,-2174.4462416107385,152.19091468284861,0.0
25-50km,Carting,1711,2.6884862653419055,46,176.14381992893033,1892.4774347826087,87.22086433168155,0.0
25-50km,FTL,1158,2.6770293609671847,1127,-6.689011613870356,-1952.017878438332,93.37801967163968,0.0
50-100km,Carting,580,11.89655172413793,69,91.3251095377086,1354.982739130435,54.750980621049756,7.241379310344828
50-100km,FTL,1046,20.26768642447419,834,-0.3427530552473489,-1462.6708723021584,37.49955478293826,9.369024856596559
100-250km,Carting,119,21.84873949579832,26,89.67636759855947,206.32980769230775,2.038246453879942,78.15126050420169
100-250km,FTL,649,56.08628659476117,285,65.3821236117506,-433.98037894736837,0.812085548797816,43.91371340523883
250-500km,Carting,1,100.0,1,8.949286915500863,-1899.906500000001,,0.0
250-500km,FTL,248,30.241935483870968,173,197.39377961013386,2923.508849710983,-34.475333329511116,69.75806451612904
500km+,FTL,303,0.0,303,1429.851128010307,15949.79107920792,,100.0
