center,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15,n2v_16,n2v_17,n2v_18,n2v_19,n2v_20,n2v_21,n2v_22,n2v_23,n2v_24,n2v_25,n2v_26,n2v_27,n2v_28,n2v_29,n2v_30,n2v_31
IND845418AAB,0.81916535,-0.1734026,0.66218936,-1.0176743,0.46077985,-1.4487115,-0.9315499,0.41109064,1.0933774,-0.3788486,0.6753702,0.06425995,0.4393127,0.4968317,0.06704751,-0.1432222,0.030755073,0.889156,0.29134887,0.98809,0.90130264,0.90957445,-0.9874091,-0.87763447,-0.8322155,0.23348163,0.6607758,-0.400673,-1.8132029,0.93802637,-0.51039344,0.49072644
IND144527AAA,1.7115945,-0.92552704,0.7532161,-0.17859446,0.51134723,-0.70911765,-0.037003905,-0.8159265,-0.7604789,-0.4376085,1.3223225,0.7868027,0.0419636,1.4870156,-0.08451795,0.4759971,-0.15674391,0.33025923,1.5535767,0.5731713,0.71972656,1.7176019,-0.6524562,-0.43754888,0.73243725,0.5689401,-0.6480663,-0.29387093,-0.19149542,-0.14881462,-0.68359447,0.44711816
IND732204AAB,1.4588392,0.19599093,0.28936136,-0.5550558,0.99113375,1.2615921,0.22992063,0.15318559,-0.20604175,0.19168884,-0.19827098,1.2806574,0.26375756,0.8838549,1.4849772,1.0073632,0.37546882,-0.43234065,-0.21965903,0.56357676,0.44500706,1.333411,-1.1228765,-1.3049654,-1.2766699,0.200478,0.832588,-0.72219276,-1.3055316,-1.2171117,0.5078415,0.44522908
IND602105AAB,0.79511946,0.8144104,-0.500912,-0.0935971,-0.024017017,-0.054287672,0.4985824,-0.49797904,-1.2731754,-1.3189971,0.39895704,1.9125441,-0.92120624,1.0408247,0.48891902,-0.4774329,0.05263219,0.76480234,-0.4698248,1.4078277,0.32634485,-0.4329572,-0.6149671,0.17925242,-0.14543413,-1.3477633,0.049512886,-0.6607871,-0.6443137,0.18257366,0.071710214,1.5358205
IND443301AAA,0.34557593,0.53874433,0.040001336,-0.5122567,0.68679136,0.4097328,0.4764613,1.0613245,-1.6151499,-0.5061099,0.14141805,1.1301448,0.03373946,0.61981875,1.2157276,-0.28226057,-0.29086596,0.046453588,-0.24659292,1.2720665,1.4660283,0.7980747,-0.7155947,-1.1064428,-0.37334517,-1.1208808,-0.5482043,1.2418023,-0.95220435,-0.13274445,0.6679984,0.12824515
IND131301AAA,-0.16593966,-0.5155725,0.96091247,-0.44481194,-0.26154652,-1.3164568,0.15442976,0.5826994,-0.34843653,0.06090976,-0.07644657,1.0758263,0.05867499,-0.2223297,-0.12987322,-0.18739988,-0.15249738,0.46817303,-0.111787,0.29705223,1.105136,0.96155095,-1.43516,-1.0777805,0.05783647,-1.2684795,-0.17730975,-0.31877607,-0.103924856,-0.49267742,0.25334823,-0.5605277
IND505326AAB,0.7566388,0.63466674,1.0035248,-0.06359565,0.24760887,-0.27867863,-0.049570296,-1.3327463,-0.59089893,0.16352648,-0.39312962,0.87059337,0.29439393,0.9386371,0.3140446,-0.43512782,0.7381052,-0.5382533,-0.5754291,0.781807,0.9268583,0.24597906,-0.26801667,0.396581,0.4161462,-1.1945193,0.41570622,-0.6233584,-0.53529847,-1.3144858,0.46857834,1.2057409
IND473443AAA,-0.14254287,1.0045702,1.7913954,-0.30073646,0.49029478,-0.7578796,0.2963,0.7076042,-0.44255906,0.34670556,0.2544885,-0.8318668,0.009115093,0.75346416,0.94472206,0.69331384,0.56802565,0.8016581,0.19348428,1.1040899,0.47051927,0.6407993,-0.23737879,-0.47232634,-0.53755754,-0.9897837,0.15560561,-0.4999988,-2.1851892,-1.3571978,0.917424,-0.3682311
IND136128AAA,0.5213956,-0.31022453,0.85035115,-1.2758404,0.25363472,-1.0169939,0.52968645,0.2688737,-0.9618076,0.63866204,-1.1331749,1.5974054,0.017611485,-0.24722122,0.00014818131,-0.89475334,-0.057849023,0.3345927,-0.21154939,-0.030497164,1.5666012,1.5678416,-0.7316119,-0.6444164,0.54049605,-1.0075309,-0.15286034,-0.6999941,-0.12137698,-0.16870266,-0.120613374,-0.22730899
IND600076AAB,0.7890006,0.22111908,-0.35745013,-0.07103233,0.3375104,-0.8278547,0.5615918,-0.10544139,0.060709868,-1.1672732,0.075536385,0.9862875,-0.4999055,0.44068006,0.36695147,-0.2255195,0.1750151,0.64760035,-0.4040822,0.7682291,-0.11004172,-0.5389483,-0.8069152,-0.040932387,0.46317878,-1.4884654,-0.27212307,-0.878806,-0.4884578,-0.6169061,-0.28792387,0.29614183
IND246174AAA,1.4265788,-0.23042887,-0.004110225,-1.1483839,-0.51545405,-1.6929274,-1.7324146,0.17148702,0.023297703,-0.28090146,-0.5807897,0.30164787,0.25201,0.99192023,1.5737911,-0.9074197,-1.2674919,0.06592854,1.1279726,0.6427066,0.090728045,0.72454965,-1.086001,-0.32433364,0.33552402,-1.5898973,-0.24528745,-0.9881754,-0.9836098,-1.9482398,0.30432972,0.20703642
IND442605AAA,1.8906162,-0.37158495,1.5406687,-0.12515168,-0.788434,-1.5439062,0.24684986,-0.097123936,0.25444064,-1.2784258,-0.9303177,0.22236651,0.6505787,1.06646,1.9927975,-0.37673137,-1.3456328,0.9902332,1.1179504,1.0855258,-0.6607111,0.8711506,-0.21123265,-0.2219088,0.0014166817,0.083936125,-0.32846472,-0.46523917,-2.1237352,-0.4509232,1.2946033,1.0406424
IND175015AAA,0.5721847,-0.15425713,0.89724475,-1.2720973,1.2022923,-1.2620193,0.19535595,-0.1218776,-1.0067035,0.36258543,0.71608174,0.4573856,-0.10990345,1.1370167,-0.06312434,0.10077175,-0.77706516,1.179398,1.3548402,0.7579275,0.9220179,0.32905445,-1.5657454,-0.82544154,0.9094896,0.44498745,-0.6887473,-1.296804,0.48355356,0.159498,0.4587983,0.4006299
IND141109AAA,1.5773523,-1.1219537,0.9329311,-0.05583743,0.67730653,-0.95395607,0.049745463,-0.5050915,-0.5959847,-0.7988652,1.1872481,0.25811478,-0.18928094,1.0223897,-0.15364581,0.53185534,-0.08215309,0.41657153,1.1140999,0.76605403,0.6604186,1.5694753,-0.8537394,-0.42544073,0.8223315,0.3972324,-1.2143338,-0.35395575,-0.10615914,-0.115833946,-0.3924116,0.09692229
IND574216AAA,1.0608845,-0.47873306,0.52774936,-1.1266911,0.09191165,-0.28011042,0.18889427,0.2550766,-1.014233,-0.4807616,0.44917697,-0.5029377,-0.45210835,-0.22665282,0.6878865,-0.8242385,0.76191354,0.8909552,0.22843513,0.8939159,-0.19468452,-0.21151412,-0.3620143,-0.1918138,0.609505,-0.34286714,-0.14856783,-0.7776605,-0.6578185,0.033264443,0.18704075,-0.4958654
IND431514AAA,1.2342149,-0.5293717,0.53451985,-1.7462003,-0.26445222,-0.5904498,-0.35118917,-1.1981684,-0.5458895,0.23213501,0.096226014,-0.1901581,-0.20789708,0.7551121,1.128714,0.30948967,0.20279668,-0.7625001,-0.4745312,0.6623889,1.1153115,-0.30857447,-0.902458,-1.4455876,1.2244917,-0.74501985,0.007683939,0.48092228,-1.2576867,-0.11136597,0.058564067,0.29776967
IND140118AAA,0.51359355,-0.48335597,1.1836637,-0.20219824,0.7388005,-0.28972644,0.8378586,-0.013819134,-0.9940991,-0.044786807,1.0561376,0.3975842,-0.39239985,0.56029814,-0.764292,-0.082896225,-0.011893264,1.009378,0.62532526,0.5645864,0.79572827,1.1008742,-1.5674322,-0.217343,0.06630777,-0.17182185,-0.24487835,-0.95483243,0.22768812,-0.27356035,0.4430003,0.4951318
IND276129AAA,0.6932473,0.5468906,1.0271407,-1.7528431,0.5757217,-1.8367028,-0.3827569,-0.95686775,-0.28002,-1.1586946,0.18563637,0.40620634,-0.15724,1.7813327,1.0348817,-0.26855952,-0.25756934,-0.3584556,0.3584739,-0.005626651,0.6585808,1.8602118,0.2050962,0.4632431,-0.19078733,0.6583614,-0.06299523,-0.554146,-1.2733635,-0.2796966,0.7366749,0.3779854
IND122413AAE,0.66447204,-0.9871793,0.63159275,-0.18756177,1.0331262,-0.6477367,-0.30499902,-0.5848522,-0.3825593,-1.0331705,0.860731,0.37020782,-0.73973066,0.2657394,0.31232467,-0.009171979,-0.73417604,-0.7338552,-0.089290775,0.5281732,0.5422881,0.3354603,-1.6652129,-0.9331335,-0.026797067,-0.42193505,0.23323928,-0.05215535,-0.63226014,0.535202,-0.01936397,-0.8377211
IND246424AAA,1.4959129,-0.22576758,-0.0068595116,-1.1219501,-0.5060538,-1.6550543,-1.8033717,0.16740735,-0.010052784,-0.26601967,-0.5715248,0.28896835,0.21997492,0.9954208,1.5678407,-0.9203931,-1.3051656,0.11372687,1.167432,0.62802464,0.07073761,0.7684925,-1.1249796,-0.3630787,0.37797678,-1.5942068,-0.25481388,-1.006414,-0.9898614,-1.9128542,0.37496752,0.22730146
IND391110AAD,-0.04332006,0.18658361,1.3998954,0.14956287,0.34905145,-0.117152005,-1.4699764,-0.13545056,-0.7942987,-1.1904606,-0.26529276,0.5739834,-0.10965865,-0.19713594,0.10047094,0.25369865,0.2979846,0.20143524,0.27109244,0.66830206,0.06176757,0.028321495,-0.9157859,-0.54775983,0.45729077,-1.259312,-0.44327825,-0.5333568,-1.1397156,1.0274142,0.69880146,0.3880027
IND333028AAA,1.022081,-1.0601835,1.8560467,-1.5596064,-0.24789841,-0.08940093,0.17672947,-1.3260233,-0.6980928,-1.9528635,0.003953476,0.68420833,0.3639208,0.88095367,0.24709035,-0.14406824,-1.050679,-0.32860094,0.2580311,1.3173807,-0.16432136,1.3151345,0.101071775,-0.9996583,-0.4447113,-0.2666558,-0.32706052,0.5169988,0.034752447,-0.7248147,0.77349335,-0.45155168
IND804401AAA,0.87385666,0.7598594,1.1715138,-0.76985776,0.75964874,-0.61582774,-0.3504441,1.0751201,-1.6506573,0.1387824,0.86499095,1.5457684,-0.41660625,0.71817774,0.70548517,1.1482676,-0.28636715,0.2696911,-0.6179187,0.6839424,-0.87257636,2.0584884,-0.3204661,-0.27446273,-0.10594943,0.79305315,0.29609928,0.173967,-1.8151723,0.1537071,0.40031224,1.2829558
IND174307AAA,0.6211313,-0.4216289,0.7803366,-0.39408273,0.5859296,-0.44743493,0.5204238,0.15092024,-0.52568096,-0.66172767,0.92162937,0.39079478,0.021471472,0.72425705,-0.74765855,-0.12321099,0.35503602,0.70287734,0.66035306,0.63804793,0.8800901,0.9041484,-1.0858471,-0.50298864,0.48556778,-0.37745675,-0.66946137,-0.3007046,0.34259883,0.5446885,0.2314291,0.21071203
IND754211AAA,1.1247301,-0.078586385,1.263837,-0.8142946,0.8241671,1.0782645,0.06599667,-0.9104947,0.68283606,-0.91724133,1.230326,0.72151,0.44525906,0.93011194,0.60602766,-0.31696188,0.47556508,-0.77356154,-0.59379023,0.614805,0.077843,0.71285826,-1.4125621,-0.45119905,0.6751478,-0.7912693,0.913598,-0.5504038,-1.0997592,-0.46556163,-0.85604507,-0.09779608
IND785675AAA,0.78156805,-0.5249606,0.43439195,-0.8340925,0.284963,-0.61330384,0.09517627,0.5425646,-0.13953389,-0.04611859,-0.4626343,1.9276316,-0.39351067,1.3111739,0.75987786,-0.31088755,1.7232141,-0.3259036,0.3383242,0.81269276,0.55462533,0.7383813,0.7635112,-0.22558913,-0.9696092,-0.5884827,0.2608568,-0.9297354,-1.1996214,0.40716153,-0.086495236,-0.1942291
IND331304AAA,0.836784,-0.8074341,1.5226969,-1.5860378,-0.4194519,-0.015567218,0.20234562,-1.1786048,-0.8645048,-1.5914114,-0.32026017,0.56956583,0.45985818,0.9294707,0.14284667,-0.23083101,-0.5352295,-0.17021608,0.31092185,1.3492544,-0.2822509,0.75466,0.020306826,-0.90485805,-0.5972383,-0.2601261,-0.3554508,0.4007547,0.021834947,-0.76355237,0.8459336,-0.43272838
IND641008AAA,1.9603798,0.12827642,1.598588,-1.6481262,-0.3396767,0.780694,-0.8633462,-1.7235247,-0.588982,0.66725826,0.4619838,0.50035703,0.9908209,0.8691824,1.0492915,0.3843507,-0.8908801,0.79387385,0.462413,1.3839186,0.55914664,0.811439,-0.1441768,-0.25800443,-0.081997626,0.05538909,0.063249536,-1.0215712,0.10797471,-0.19017796,-0.24490586,0.38053727
IND591201AAA,1.5043799,0.99241513,1.6510612,-1.3208998,-0.22933748,-0.51606876,-1.1666584,-0.26172245,-1.2512472,0.19062687,-0.28633192,0.3190205,-0.033395853,1.6842194,0.10453574,-0.8059455,0.75285405,-0.18181115,1.0449662,1.0951424,-0.03857638,-1.1816862,-0.59608287,-0.43463263,0.10871428,-0.9064089,0.15166105,-0.08212559,-0.5908226,0.08256192,-0.4225332,0.16568635
IND731204AAB,1.6351595,-0.6233562,0.2255045,-0.5146585,0.3973479,0.3340936,-0.13955684,-0.8751467,-1.0434377,-1.1618855,-0.2903424,0.14557049,1.2295353,0.0053054336,0.94373107,-0.10243736,0.33924603,0.0012602054,1.01168,0.5473729,1.7658925,1.4346505,-0.6058575,0.63302386,-0.62269163,0.15896529,0.08517072,-0.53779745,-2.0229309,-0.2776424,0.2798663,-0.119523324
IND606003AAA,1.4146718,-0.630201,-0.6008437,-0.25252402,0.038109004,-0.16320236,0.6107715,0.13853039,0.37699685,-0.94585,1.1047736,1.6650907,-0.19481802,0.80931795,0.89901763,0.16454534,-0.948446,0.8249715,0.49564818,2.126023,-0.05751532,-0.30450577,0.13015887,0.22455466,-0.7189726,-1.8771509,-0.7884813,-0.7593444,-1.1527658,-0.48582187,-0.29369015,0.46059188
IND804452AAA,1.1361722,0.52062625,1.6867871,-1.2462811,-0.43717834,-1.1357003,-0.954224,0.8430899,-0.24765654,1.1247874,0.9465566,0.6387611,-0.4449517,1.2846708,1.6527151,-0.21861707,-0.4959884,0.9869796,-0.019426806,-0.19119626,0.8148951,0.50601363,-0.5215741,-0.50344837,0.36428756,-0.9804161,0.71462834,-1.0486127,-1.0373533,-0.38222924,-0.6889325,1.0754738
IND604303AAA,0.541483,0.22833891,0.30031767,-0.11722369,0.22002973,-0.8437006,0.59843713,0.3053143,-0.53599256,-1.594707,0.56672144,0.69496536,-0.39355883,0.13511445,0.6506556,-0.07361335,-0.4627846,0.46310326,0.7225223,0.9615083,-0.81684524,-0.03211396,-1.0097467,-0.0074959593,0.34386396,-2.186942,0.3730334,-0.23093286,-0.38817748,-0.5026347,-0.33695564,0.3345324
IND364004AAB,-0.037491463,0.20137845,1.0886678,-0.16094632,-0.513843,0.10927596,-0.9026305,-0.107156076,-0.099699885,0.025484577,-0.26839802,1.2406492,-0.1700308,-0.03042965,0.6466649,-0.070360176,-0.35779238,0.4656458,0.25037482,1.5619031,0.02162132,0.52933264,-0.24291702,-1.1276593,0.7157537,-0.18935746,-0.78859437,0.6889194,-1.6819777,0.8534524,0.91871953,-0.26184896
IND721212AAA,1.0956957,0.99023956,0.3345486,-0.309704,0.3363772,0.0696867,-0.43721324,1.0029557,0.07776311,-0.37349576,-0.8177016,0.08238991,0.45083705,0.76869,-0.3697174,-0.44536424,0.22433867,-0.074014075,0.9367865,2.1195412,0.81170285,1.4162705,-0.6234593,-0.1750996,-0.2176627,-0.9933817,-0.3589657,-0.36938417,-1.7567744,-1.3981398,-0.5449299,0.46252736
IND442001AAA,1.2131656,0.025300903,1.0282067,-0.94014883,0.23304269,-0.40204716,-0.22073601,-0.1990725,-0.77625,-0.4232499,0.21577008,1.2141122,0.10785117,0.80689466,0.61973286,0.06181786,0.05652772,0.44100168,0.36759397,1.1125294,0.2671186,0.9008066,-0.58946955,-0.25419882,-0.23170076,-0.5941175,-0.029256636,-0.5064242,-0.8189357,-0.27395803,0.29730576,0.31749657
IND742148AAA,1.8269252,1.316295,0.5906793,-0.2512544,0.21099092,-0.4990786,-0.6660322,-0.18623212,-1.5016515,0.3037205,-1.0928943,0.79762423,-0.16495465,0.92553526,0.6911634,0.19778243,-0.36390367,0.41465002,-0.5680647,0.75445175,0.10532478,1.6662545,-1.9698254,0.4895398,-0.29001975,0.62134606,-0.21573527,-1.8375365,-1.7773873,0.48116368,0.29319695,-0.38323352
IND627756AAA,1.8077822,0.7256762,0.20841253,-1.4291091,-0.27925256,-0.22112234,-1.1038059,-0.59458447,0.41437387,0.7790595,0.61832196,1.2381365,-0.2052517,-0.3822872,0.028075831,-0.09842853,-0.26295653,0.20254862,0.856083,1.6254376,1.3032731,0.5717248,0.09385907,-1.0131168,-0.8630184,-1.5140759,0.87975407,-1.079352,-0.6597241,0.026942333,0.70461017,1.6284701
IND262701AAA,0.834618,-0.38526437,0.52120113,-2.075885,0.28713658,-0.40415534,-0.88313526,1.0095764,-0.6280754,-0.55427647,-0.45530066,1.4206787,0.11748365,1.0168428,-0.34340262,0.96818227,-1.1349003,0.24345866,-0.54349804,0.56526,-0.22313718,1.6855104,-0.21788584,-0.2592893,0.95510006,-0.37803254,-0.9369387,-1.4435415,-1.5909445,-1.6569723,1.22992,0.7150062
IND723133AAA,1.5131035,-1.0968413,-0.0948576,-0.6578282,0.06850025,0.2495349,-0.40769425,-0.4403721,-0.5275033,-1.2433437,-0.005663425,0.4295313,0.53276235,0.26651093,1.2830364,-0.4264617,-0.19765224,-0.38693208,0.26978636,0.22275293,1.3805153,0.8876574,-0.97595286,0.027108192,-1.2992836,-0.50271267,0.39302677,-0.45117992,-1.5044159,-0.36223367,-0.2309339,-0.29545957
IND441904AAB,1.9087324,0.9452275,1.267961,-0.18234757,-0.23746262,0.13406198,0.15114719,0.6139515,-1.503281,0.2487887,-0.3777765,1.0084625,0.14760785,1.9160557,1.3711822,0.84287155,-0.6114496,0.6678726,1.1362138,0.5081883,0.11003592,1.3083755,0.6035308,-1.2039835,0.83952665,0.27210942,-0.18123583,-0.10666148,-1.2700588,-1.1978701,-0.13617848,-0.045103006
IND676306AAA,-0.3166299,0.31075984,1.6355727,-1.1355635,1.1844894,0.038286045,-1.1810572,-0.66494846,-1.2737755,-0.63536745,0.18699962,0.5641966,-0.1974979,0.06011174,0.50286555,-0.9294214,-0.18945222,0.80572504,0.9484964,0.14235581,0.07721544,2.0069776,-0.3403066,-0.31702596,-0.6629399,-0.85895133,-0.011643277,-1.4002798,-0.94338715,-1.4772358,-0.39964595,1.0298516
IND250002AAA,0.58058655,-0.8375612,0.8689994,-0.6127432,-0.20003673,-0.79602075,0.29848114,0.11943568,-0.45235035,0.029340843,-0.44726026,1.2122626,-0.8220946,0.65068483,-0.6143262,0.04289441,-0.5961553,-0.28535098,-0.7863605,0.24825275,1.1754814,0.80158603,-1.286584,-1.4702697,0.23120894,-0.85582185,-0.68180114,-0.41486362,-0.13855574,-0.476213,0.3209108,-0.22432749
IND413517AAA,1.505011,-0.78872067,0.4453512,-1.4101828,-0.41447386,-1.169789,-0.29980946,-1.2523869,-0.7738174,-0.002014967,0.40949833,0.43962765,-0.17595564,0.199473,0.75713086,1.3653477,-0.29845762,-0.40171096,-0.15663931,1.3177717,0.96525764,-0.37950623,0.08591263,-1.5996238,1.0346249,-0.52260005,-0.29539543,0.36783266,-1.2814735,0.315451,-0.19048944,0.4060251
IND761020AAA,0.48049587,-0.5529832,0.8346298,-0.74131143,0.38840133,0.97598475,-0.2731276,-0.5125171,0.23358056,-0.64043957,0.45378435,0.38710758,0.04777179,0.20700628,1.0632709,-0.54536366,0.817112,0.14882323,0.05886374,0.92197436,-0.23849176,0.43011793,-1.8403345,-0.1285375,0.4295103,-0.477392,0.67830867,-0.2724519,-0.5923755,-0.21279736,-0.08203683,-0.60965484
IND000000AEM,1.3174356,0.48992255,0.98510385,-0.6468569,1.704263,-1.5958043,-0.08387037,-0.086079724,-0.3980216,-0.9452616,-0.17675614,2.599194,0.5216805,0.4963667,1.771156,-0.5667703,-0.91659284,-1.0445979,0.94101506,0.092765115,0.637892,0.8047457,-1.2911537,-0.6896808,-0.1889575,0.3350038,-1.4001131,-0.45464292,-0.6091599,-0.84968007,0.054828662,2.030677
IND344001AAA,0.4824836,-1.3705847,1.0682622,-1.217238,-0.29773057,-0.16846742,-0.91900134,-0.21073782,-1.1773008,-0.6198767,-0.75787467,1.9388969,1.0798819,0.28989756,-0.25123775,-0.99224275,-0.64261156,0.96702814,-0.5121118,2.117154,0.1920471,0.2832641,-0.9878207,-0.62737983,-0.3494447,-0.38819292,0.64774084,-0.57153314,0.16366258,-0.5887071,-0.52878755,-0.25266397
IND335701AAA,1.1937946,-0.97590953,0.6796305,-0.8991883,1.3015794,-0.84302574,-0.3701363,-0.6235064,0.19038972,0.4625637,0.887097,0.82389206,0.33287472,0.47628862,-0.24221316,-0.93462354,-0.02862046,0.4939063,0.5339303,1.2810193,0.35434023,0.7339492,-0.5465172,-0.25372028,-0.76227355,-1.734494,-0.54189324,1.4917423,-1.1554781,0.62326145,0.8645318,0.6747526
IND581320AAA,1.4235619,-0.15469211,0.40845624,-1.0219282,0.006175972,-1.3108494,-0.08567017,-0.18774307,-0.8739605,-0.63788784,0.191637,-0.061925896,-0.14253166,-0.31980252,1.0419371,-1.2073001,0.3608546,1.8657502,0.70848185,1.3340702,0.2956453,-0.22114755,-0.38639688,-0.21645904,1.0930815,0.13605025,-0.040621646,-0.44006994,-0.5974866,0.16948819,0.5420694,-0.54924065
IND532127AAA,1.0610292,0.18115388,-0.3693698,-1.4983772,1.1771469,0.2558227,-0.27171412,-0.916161,0.41055778,-0.8229666,-0.38564286,1.5667222,0.69110733,0.8214408,0.33835816,0.5010524,-0.57432854,1.6417857,0.5630871,1.1607299,0.019273575,0.7839943,-0.7461491,0.3493712,0.848272,-0.91196674,1.0906731,-0.046480913,-1.0006003,-0.11444477,-0.30966547,-0.22725974
IND523201AAA,0.86158764,0.10864388,1.3879353,-0.5243478,-0.3060271,-0.7818095,1.0446296,-0.35063782,0.35683286,-0.6723548,0.4409451,1.2177352,-0.28154618,-0.19801006,0.24986005,0.6160277,-0.360696,0.66435766,-0.37962005,1.2961626,0.29282916,-0.8470727,-0.3901071,0.29908398,1.2180005,-1.1178905,0.38923982,-0.7541417,-0.75663465,-1.0284269,-0.17571686,0.8933957
IND141003AAB,1.4414595,-0.8602101,0.88492113,-0.13866912,0.7724694,-0.90390867,0.15830202,-0.53400314,-0.71318316,-0.8908658,0.95879996,-0.009017374,0.08125068,1.0456879,-0.28287223,0.5353655,0.008689976,0.6200422,0.99785006,0.7897137,0.60292166,1.369367,-0.784743,-0.38391185,0.86957526,0.4841172,-1.2808181,-0.5200109,-0.21867609,-0.20394087,-0.3608996,0.2425888
IND587103AAB,1.1200969,-0.5438328,0.71191984,-0.87130684,-0.9832128,-1.1866685,-0.6080146,-1.2418898,-0.3905938,-0.87088245,-0.2912563,0.907701,0.3943705,0.16514552,0.055087786,0.28347084,1.9012265,0.6169912,-0.13190745,1.6359645,1.0003839,0.008481736,-0.07184085,0.060747504,0.5259657,-0.20665875,-0.58349216,0.2438865,-1.4244335,0.40019614,0.86294186,0.48537394
IND423601AAA,-0.012420677,1.0138565,-0.29433292,-0.9319779,-0.29840228,-0.39751202,-0.5363313,0.6515251,-1.0778325,0.05543945,0.1322365,2.0134752,-0.026091812,1.3069704,0.23955311,-0.16827816,0.34085932,0.79493636,0.07766058,0.7879418,0.94352794,-0.079083696,-1.4823184,-1.5826699,0.23360528,-0.5728208,0.4862159,-0.32030228,-0.96675175,-0.15436123,1.7183325,-0.43276575
IND623704AAA,2.3397658,0.39265984,-0.4803959,-1.23252,0.17649898,-0.43971607,-1.0325915,-0.70086926,0.23818853,1.0483508,0.41361344,0.7133985,-0.22868632,-0.23348446,0.02677874,0.122489005,-0.3319608,-0.68054795,0.1212074,1.629273,0.73738205,1.480436,-0.5957078,-0.60615295,-0.35983422,-0.82390505,0.65315366,-0.90561235,-1.1908854,0.018583702,0.12667722,1.801103
IND799250AAA,1.5446738,-0.9082096,-0.59222955,-1.3812281,0.64660674,-0.8981359,-0.59390974,0.4643234,-0.48690632,-0.4131867,-0.2178083,1.780974,-0.73450017,1.2218388,0.27549776,1.3504547,0.95369345,0.008396867,0.13497233,0.4394928,-0.64370537,0.61415786,-0.88900185,0.028352408,-0.9577245,-0.37852514,0.12312502,-0.22322387,-0.9276802,-0.28364998,0.20908086,-0.11821111
IND741165AAB,1.9300327,-0.15313557,1.4929717,-0.103569455,-0.1024246,0.28690752,0.07467762,0.03983578,-1.3826632,-0.8098634,-1.1657662,1.4065971,-0.23782066,0.39209804,1.2274584,0.48089033,0.0043000528,0.4569478,0.5112407,0.27369508,0.21645536,0.6240618,-1.6452832,0.52984613,-0.58040595,0.6708629,0.3949269,-1.4686203,-0.69417125,0.31331915,0.2703202,-0.03588903
IND631501AAA,0.7312687,0.64245397,0.12554799,-0.10141465,-0.06750848,-0.53002197,0.72707784,-0.4801647,0.28917673,-1.502553,0.059716176,1.2162216,-0.22029299,0.40216795,0.37651289,0.015663434,0.113218926,0.5072831,-0.04617247,0.89761853,-0.28623495,-0.71248126,-1.2829161,0.16201653,0.35082456,-1.0133816,-0.2867932,-0.50052315,-0.5883627,-0.34414765,-0.40873998,0.25326204
IND263645AAA,1.2243557,-0.43941152,1.0766214,-0.3857307,-0.80575305,-1.7098917,0.39066604,0.8908176,-0.29031244,-0.88748574,-0.67521685,0.66945,-1.0158097,-0.1997904,0.33895063,-0.17395258,0.45378286,-0.26587287,0.2377629,0.14481191,0.874757,1.5426842,-1.0553117,-1.3740472,0.4580539,-0.94311386,0.40386587,0.1948717,-0.8754808,-0.9276064,1.2416446,0.51213163
IND412803AAB,0.85727566,0.14630148,0.59664583,-0.8634254,0.21444158,-0.38408554,-0.6798712,-0.3276111,-0.5299633,-0.35969585,-0.045570266,-0.08222356,-0.7883236,0.3714099,-0.017063964,0.24491978,0.8690029,-0.16788599,0.5520304,1.2156198,1.2328893,-1.0564984,0.15016398,-0.73609453,0.90669763,-1.029829,0.18082944,-0.070702806,-1.0957025,-0.22416398,0.53776306,-0.15565863
IND600016AAB,0.7948791,1.2553768,1.4280429,-0.75194526,-0.8431337,-0.80462515,-0.4255634,-0.23378995,-0.85271925,0.53458697,-0.26129454,1.5355376,-0.15449737,0.4023671,0.12960617,-0.4354641,-0.18980937,0.5558232,0.28574434,0.9222061,0.90608823,0.24951857,-0.07838684,0.1628421,-0.5986874,-0.4583026,-1.0273306,-1.7912836,-1.895584,-1.2288862,-1.194085,-0.664917
IND431603AAA,1.0032474,-0.38899878,0.3435031,-1.2219707,-0.36383194,-0.86073494,-0.34994394,-1.1511862,-0.7560588,-0.25880834,0.10154893,0.03793548,-0.15768494,0.3481173,0.83765054,0.9741495,-0.010135006,-0.4581666,-0.28085262,1.0879225,0.78917956,-0.15829611,0.107421555,-1.4195915,1.1581396,-0.48926935,0.14701068,0.21172826,-1.1539947,0.116321646,-0.24182554,-0.083013296
IND343001AAA,-0.3487684,-0.90677625,1.5691007,-1.3467765,-0.1215398,-0.36379716,-0.61637974,0.0755178,-0.6497556,-1.4379681,-0.2331828,1.165969,0.23770383,-0.079539604,-0.26278037,-0.7958359,-0.49822092,0.42360955,-0.5399513,1.6748109,-0.28972945,0.45157,0.18643966,-1.2638615,0.18176003,0.3865812,-0.22758949,-1.317158,-0.8332692,-0.13772796,-0.042493813,0.32146415
IND362560AAA,0.6456232,-0.662489,1.2362967,-0.7778984,-0.5657902,-0.773463,1.3160535,-0.037242636,0.47146335,1.0249264,-0.25949368,0.7803996,1.0335083,0.59312344,1.3411804,0.4886477,0.1347507,0.0123328585,1.1379689,1.3880938,0.21206379,1.0638046,-0.22995786,-1.1473923,-0.33090988,-0.9372743,-1.1821533,-1.3178903,-1.4677906,-0.37955216,-0.24177751,0.61032885
