center,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15,n2v_16,n2v_17,n2v_18,n2v_19,n2v_20,n2v_21,n2v_22,n2v_23,n2v_24,n2v_25,n2v_26,n2v_27,n2v_28,n2v_29,n2v_30,n2v_31
IND501141AAA,0.0034263202,0.34347403,0.81932086,0.21499032,0.3762139,0.36197755,0.0479515,-0.5555862,-0.49277526,-0.6599234,0.5854731,0.9765515,-0.2081806,0.7324407,0.49069315,-0.080646746,0.3030003,0.022626076,-0.7781018,1.1040667,0.26040304,-0.45597485,-0.49356237,0.15090096,0.6967936,-0.56322914,0.532507,-0.57141644,-0.33681586,-1.2830716,0.70190215,-0.2246601
IND533262AAA,0.58047193,0.005027418,0.8860655,-1.1156265,0.97486705,0.23849578,0.10203195,-0.9576029,-0.35780048,-0.73848474,-0.29095337,0.8720145,0.3404088,0.013478634,1.2216326,-0.64350206,-0.42872477,0.38280496,-0.03907162,0.5074709,0.23612227,0.04472771,-0.007199066,0.8204361,1.625526,-0.9300639,0.5583215,-0.45613253,-1.3587184,-0.8695845,0.97467643,0.04055227
IND000000AFT,0.09972656,-0.30994105,0.15811865,-0.09230568,-0.14443718,-0.18090838,0.3376619,0.42214194,-0.87497765,-0.21033433,0.69903314,1.449388,0.2007687,-0.34542134,1.1815579,0.94598925,0.2854742,0.35561204,0.19282278,0.8653919,1.2568192,0.05664611,-0.20990415,-1.4768416,0.7802131,-0.17936173,0.19951695,0.047427647,-1.1043031,-0.033512667,0.14098038,-0.089354984
IND277303AAC,0.547243,-0.4668925,1.7377398,-2.0025556,0.49893448,-0.20742641,-0.2191424,0.5479152,-0.10262691,-0.44011965,-0.120856024,0.6314369,-0.7321849,0.29567978,0.24041131,0.7591906,-0.8481727,0.5775653,-0.26600188,1.8820561,0.4323833,1.3038572,1.1443202,0.016244814,-0.91490847,-1.0317454,0.6824896,0.67978066,-0.8213064,-0.03044314,0.14661315,0.32322899
IND127201AAA,-0.19238962,-0.19283998,1.5496496,0.10939228,0.49228367,-0.6412205,0.25166342,-0.6438916,0.0068509034,-1.1569146,0.56928587,0.19618143,0.3045986,0.2342036,0.080650575,0.3964042,-0.7206587,0.46110448,-0.47469795,0.96592695,0.60273623,-0.2335344,-1.0607108,-0.25307176,0.16338132,-0.45605206,0.110681646,0.08514011,-0.8729584,0.42481524,0.2516965,-0.31903943
IND732103AAA,1.491101,-0.8300602,0.6304076,0.36932817,0.889802,0.05776698,0.2394855,0.50322485,-1.2187123,-0.069040656,-0.07045712,2.0448346,0.36203316,0.013684959,0.983104,-0.28230962,0.08707696,-0.032727133,1.0111611,0.6741227,0.40331295,0.3700785,-0.92292356,0.18408631,-0.455287,0.62026745,1.0137801,-1.5701408,-0.88409597,0.24847765,0.18647616,-0.03435529
IND560027AAA,1.1756282,-0.7947478,0.01784692,-1.1464431,-0.10093953,-0.6125587,-0.049825236,-0.31719267,-1.2482659,1.405016,1.1262972,0.9239713,-0.4032936,0.87802905,0.6018267,0.0023916645,-1.0384626,1.3095839,0.93219143,1.9098706,0.36809525,2.0779066,0.9858416,-0.46004096,-0.9429457,0.30276984,-0.9369462,-0.536825,-2.1120484,-0.441366,-0.36038092,0.3082035
IND145001AAA,0.86937803,0.18656339,1.1088231,-0.9187848,1.0660732,-0.5620224,0.68087953,-1.1866995,-1.2182606,-0.27106097,0.45080313,1.0263426,1.2646155,0.6877628,-0.46182036,0.34778932,-0.02491367,0.8517448,1.449675,1.0072035,0.7799985,0.4892531,1.2401433,-0.99000335,-1.9800091,-1.4818783,0.723652,-0.95556206,-2.010602,-0.78947526,-0.09368975,0.6079759
IND176001AAA,0.8612573,0.07133884,0.09926713,-0.8935757,0.8701384,-1.1589615,0.5921204,-0.8011703,-0.22828762,-0.0199657,0.5148173,-0.03918829,1.302093,-0.28543964,0.96674275,-0.862265,0.32610175,0.55662876,1.3268224,1.1429191,0.14620115,3.0457027,-0.4422646,-1.2429168,-0.5392996,-0.5108119,0.31251407,-0.92420894,-1.105061,-0.6285047,0.21323018,-0.22086407
IND382430AAB,-0.3428635,0.08725796,0.83618075,0.013573679,-0.07617993,0.21161067,-0.6394297,0.14928651,-0.52891225,-0.515571,-0.30884722,0.7427774,-0.29372874,-0.100639455,0.66079706,-0.40983433,-0.22703832,-0.13323824,0.36856425,1.2238252,-0.0030217592,0.21757087,-0.79313225,-1.0381294,0.16138402,-0.3245485,-0.87880087,0.121093914,-1.1608818,0.52413976,0.3573223,0.11814051
IND852201AAA,-0.13762152,0.012480693,0.64065194,0.51490265,0.566218,-1.7042418,-1.04539,-0.22812985,0.028825745,-0.4674229,0.6739348,0.4191378,-0.49373373,1.0700339,0.32496643,-0.119716264,0.48619524,0.08786077,0.2967698,1.9672537,0.92260194,0.6869456,-0.9465139,0.17296109,-0.21060342,0.29127148,0.36969504,0.18911584,-1.6570382,0.24538073,-0.4715093,-0.24811466
IND311001AAA,-0.38899815,-0.308995,0.7215125,-1.4256423,-0.20307511,0.2987831,-0.7025401,0.058350764,-0.6050135,-0.955257,-0.6492799,1.21917,0.6325495,0.39680168,0.23793335,-0.40257096,-0.5859031,-0.07149357,-0.36582276,1.9623716,-1.1513613,0.4820172,-1.1950855,-0.9717281,-0.2661467,-0.02984679,-0.48244312,-0.14943391,-1.2636839,0.08026158,0.27816924,0.25042745
IND622407AAA,0.38699228,-0.53810453,1.2504754,-2.228153,0.40013862,-0.12850702,-0.51422626,0.7902388,-0.03415388,0.9539538,1.8172451,1.8637846,-0.07233841,0.4985308,0.62400323,0.15003419,-0.122475594,0.1844972,1.4025033,1.5969063,-0.40720174,0.11065376,-0.33455858,0.21529779,-0.46648926,0.17176448,0.15860856,-1.0970801,-0.93740493,-0.82052076,-0.15299547,1.4850177
IND421302AAS,0.08022878,0.0020067608,0.45335633,-0.50102127,0.40492183,-0.10281738,0.0029869804,0.11630161,-0.46136627,-0.26933354,0.71148,1.1327809,0.39488462,0.31965336,0.98703015,0.25019082,0.14872248,-0.03605587,-0.31902087,0.8114666,1.6224089,-0.020525964,0.11554876,-1.5304476,0.9555748,-0.27923295,0.0072305314,0.18658206,-0.46725938,-0.41396746,0.39395925,-0.068652846
IND713205AAB,1.4257456,-0.80068994,0.07443167,-0.38760507,0.19210108,0.47550318,-0.14666712,-0.41959038,-0.6518805,-1.127398,-0.24650331,0.34988925,0.3355844,0.4198531,1.2057701,-0.31964973,0.101433076,-0.23477335,0.3022909,0.1737228,1.4619882,0.72001314,-0.57612634,0.14216387,-1.0695482,-0.21419872,0.07135976,-0.9458802,-1.2142519,-0.11311299,-0.104678035,-0.18333314
