center,name,betweenness,in_degree,out_degree,in_degree_weighted,out_degree_weighted,clustering,avg_incoming_delay_factor,bottleneck_score
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),0.21390322353584604,41,48,87.70513783131398,92.3360668123512,0.03822055137844611,2.1391497032027798,0.4575710171408229
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),0.08403981868577484,21,20,67.94671006981189,48.05219630786207,0.04187192118226601,3.2355576223719944,0.27191567593151916
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),0.11999410836716036,36,35,66.79135664139791,64.26969888719908,0.050170068027210885,1.855315462261053,0.22262692463382103
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),0.08833972918261122,30,26,71.16496682300406,50.65036497676305,0.041025641025641026,2.372165560766802,0.2095564632144564
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),0.032177658067077265,15,13,84.22927420769729,27.40140178333533,0.021645021645021644,5.615284947179818,0.1806867189795582
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),0.04970854469722433,30,28,84.6530951406615,52.14184897164588,0.030197444831591175,2.8217698380220506,0.14026607211859854
IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),0.024432179356501642,11,15,61.74005528541207,34.4739004429065,0.05138339920948617,5.6127322986738255,0.13713128220122864
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),0.054239531307540986,27,27,64.75897794470742,61.03223303794519,0.062388591800356503,2.3984806646187935,0.13009246709912275
IND131028AAB,Sonipat_Kundli_H (Haryana),0.04347675050039033,19,18,40.94777497749649,35.08587319377603,0.034482758620689655,2.155146051447184,0.0936987471706706
IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),0.007964667352532288,4,4,45.22291033632721,14.07461588754495,0.0,11.305727584081803,0.09004635938556008
IND781018AAB,Guwahati_Hub (Assam),0.04273040456912619,14,14,28.752694919810885,27.66816132199813,0.03333333333333333,2.053763922843635,0.08775816331258418
IND411033AAA,Pune_Tathawde_H (Maharashtra),0.041015355315157966,22,19,45.9630655958083,38.86703390648441,0.06084656084656084,2.089230254354923,0.08569052121754502
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),0.03906446502165172,18,18,36.753087740071535,38.51541455654601,0.05928853754940711,2.0418382077817525,0.07976331724776231
IND302014AAA,Jaipur_Hub (Rajasthan),0.03626160122019561,10,7,20.20903786443469,14.318602370534986,0.06593406593406594,2.0209037864434696,0.07328120720839644
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),0.030416097565277724,16,12,38.23141416325908,21.980691374457958,0.043478260869565216,2.389463385203692,0.07267815145301429
IND110037AAM,Delhi_Airport_H (Delhi),0.030810624099468012,18,22,38.9769710973515,47.87819676963028,0.06436781609195402,2.1653872831861944,0.06671693361201812
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),0.02547287421979889,13,9,31.897452984078562,20.664236360962292,0.0718954248366013,2.4536502295445044,0.06250152367656783
IND821115AAB,Sasaram_Central_I_2 (Bihar),0.006366185662449492,4,5,30.160015446596212,10.109863830542386,0.09523809523809523,7.540003861649053,0.048001064478844
IND854326AAB,Purnia_Central_H_2 (Bihar),0.01826790925649102,6,8,14.823614274623534,16.951081925404292,0.1282051282051282,2.4706023791039224,0.045132740070341286
IND683511AAA,Aluva_Peedika_H (Kerala),0.018915465741329324,11,7,21.469537216184513,11.253347947831468,0.03333333333333333,1.9517761105622284,0.036918754154084826
IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),0.017010141088581808,9,10,19.275170205254504,20.987621751824893,0.05128205128205128,2.1416855783616118,0.03643037385531195
IND575004AAB,Mangalore_Kuntikna_H (Karnataka),0.01463650188379039,6,7,13.211331919228156,14.37152347122416,0.07692307692307693,2.201888653204693,0.03222794742052717
IND751002AAB,Bhubaneshwar_Hub (Orissa),0.015498746413029563,11,6,22.7669489649442,20.487567820428687,0.13186813186813187,2.0697226331767453,0.032078106236914185
IND786001AAB,Dibrugarh_Bokule_H (Assam),0.011854167426244348,6,5,14.373246380465526,11.058173288930105,0.09090909090909091,2.395541063410921,0.028397144842116487
IND713205AAB,Durgapur_Central_I_1 (West Bengal),0.013865000721268545,6,10,12.12568739712126,28.962096358925628,0.054945054945054944,2.0209478995202104,0.02802044408449387
IND580028AAA,Hubli_Adargchi_IP (Karnataka),0.013330786436346878,8,7,16.142441912043076,15.320764489981809,0.07692307692307693,2.0178052390053844,0.026898930711322648
IND842003AAB,Jabalpur_Adhartal_IP (Madhya Pradesh),0.011135276689710273,4,8,9.655578862432488,16.544771810751627,0.06060606060606061,2.413894715608122,0.02687938555812593
IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),0.00836843242717698,5,5,15.963881527136811,10.751563951780224,0.1111111111111111,3.1927763054273623,0.02671853276706065
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),0.009452316751554357,6,6,16.632195420329516,14.299489464229655,0.05454545454545454,2.7720325700549195,0.026202129897784393
IND573201AAB,Hassan_Pandrnga_I (Karnataka),0.01379160570230155,4,5,7.386342623465538,11.151553894571204,0.14285714285714285,1.8465856558663845,0.025467381261235076
IND785682AAA,Sivasagar_Babupaty_D (Assam),0.007931179884375104,2,2,6.351082251082252,4.271777701465202,0.0,3.175541125541126,0.025185787896897655
IND305001AAC,Ajmer_FoySGRRD_I (Rajasthan),0.009911894273127754,4,4,9.765800228606805,8.253914823556837,0.09523809523809523,2.4414500571517013,0.024199394839609374
IND521225AAB,Vijayawada_Rynapadu_H (Andhra Pradesh),0.011121406140769428,7,7,14.759655429890891,13.071454336393279,0.09090909090909091,2.1085222042701273,0.023449731790518482
IND395023AAA,Surat_HUB (Gujarat),0.011682428170874799,7,8,13.777375351205148,16.281319856249333,0.2,1.9681964787435926,0.022993313989090727
IND244901AAB,Rampur_RoshnBgh_I (Uttar Pradesh),0.012677681731932225,9,6,16.281530807276173,9.66191571826866,0.06666666666666667,1.809058978586241,0.022934673964810758
IND306401AAB,Pali_Nayagaon_I (Rajasthan),0.0108788696850038,3,4,5.992537197531325,8.57160902302523,0.2,1.9975123991771084,0.021730677084827052
IND273014AAB,Gorakhpur_Matriprm_IP (Uttar Pradesh),0.005990293786152595,5,5,16.866139907673293,11.198849849337655,0.0,3.373227981534659,0.020206626617063128
IND585104AAA,Gulbarga_Nehrugnj_I (Karnataka),0.006382830321178506,5,5,15.513117790170028,9.99838667402927,0.0,3.1026235580340056,0.019803519721422188
IND424006AAA,Dhule_MIDCAvdn_I (Maharashtra),0.00321340988819545,5,9,29.86202058104497,18.367340383194044,0.09090909090909091,5.972404116208994,0.019191782443325187
IND342005AAD,Jodhpur_Basni_I (Rajasthan),0.005188774208070916,2,4,7.323305477740763,8.254015376967413,0.2,3.6616527388703815,0.018999489290362864
IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),0.009937257562619584,9,7,17.11602350600436,12.50211334524959,0.09090909090909091,1.9017803895560401,0.01889848155855738
IND826004AAA,Dhanbad_Kalynpur_I (Jharkhand),0.00879403811221741,7,5,14.965904046832476,11.229058881497908,0.07272727272727272,2.1379862924046393,0.018801532938804794
IND506002AAA,Warangal_HunterRd_I (Telangana),0.006779131719488359,3,3,8.312075169932028,5.034619792838245,0.0,2.770691723310676,0.01878288414641927
IND785001AAA,Jorhat_RicMilRd_D (Assam),0.008759053505444389,5,3,10.339956791176304,6.331501831501832,0.13333333333333333,2.0679913582352603,0.01811364695557926
IND313001AAB,Udaipur_Mangri_I (Rajasthan),0.00868265980589686,4,5,8.002230923548302,10.145024727918841,0.14285714285714285,2.0005577308870754,0.017370162199349438
IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),0.009519159587402688,4,4,7.06223677888552,7.733462919959022,0.06666666666666667,1.76555919472138,0.016806639735558994
IND505001AAB,Karimnagar_KamnHbRD_I (Telangana),0.008358987243850593,8,7,15.66650785719904,13.101921655580194,0.08888888888888889,1.95831348214988,0.01636951741675148
IND474003AAA,Gwalior_HrihrNgr_I (Madhya Pradesh),0.007454627452907505,8,6,16.882815843241065,11.986970777172207,0.09090909090909091,2.1103519804051336,0.01573188780842583
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),0.007350003883753704,12,9,25.485570382128433,17.36505304123708,0.10833333333333334,2.123797531844036,0.015609920107360196
IND785612AAB,Bokakhat_MlnprDPP_D (Assam),0.0077900965865767965,2,2,3.8784183296378423,3.8784183296378423,0.3333333333333333,1.9392091648189211,0.015106626695514318
IND403726AAA,Goa_Hub (Goa),0.007145087281797401,4,6,8.243154506605473,11.199573988548368,0.1111111111111111,2.060788626651368,0.014724514606759423
IND834002AAB,Ranchi_Hub (Jharkhand),0.004596737661986311,5,5,15.998915725593339,13.7538138415327,0.17857142857142858,3.199783145118668,0.014708563693355992
IND785675AAA,Moranhat_TiloiDPP_D (Assam),0.007402910120428069,1,1,1.9392091648189211,1.9392091648189211,0.0,1.9392091648189211,0.014355791151864854
IND384205AAA,Mehsana_Panchot_IP (Gujarat),0.008349277859592,5,5,8.583161397751164,8.383814640704642,0.08333333333333333,1.716632279550233,0.014332639884709704
IND125001AAA,Hisar_ModelTwn_P (Haryana),0.0070941682135631234,5,7,9.846471816821289,15.15585493589316,0.08888888888888889,1.969294363364258,0.013970505475727747
IND431136AAC,Aurangabad_Central_H_1 (Maharashtra),0.005573582865829784,5,5,12.253537277356127,11.780887783895302,0.047619047619047616,2.4507074554712256,0.013659221082975731
IND507002AAA,Khammam_NSTRoad_I (Telangana),0.0047893023985745835,4,6,11.306737900451106,11.704050735522019,0.10714285714285714,2.826684475112776,0.013537846736671156
IND742102AAB,Berhampore_Central_I_2 (West Bengal),0.0051834901894267345,5,4,12.848492212688926,9.20015913696131,0.0,2.5696984425377853,0.01332000666667977
IND532001AAB,Srikakulam_Kuslpram_I (Andhra Pradesh),0.00715561804788272,5,4,9.271843485562998,9.052701228310985,0.14285714285714285,1.8543686971125997,0.013269154116487684
IND263153AAB,Rudrapur_UdhamNgr_H (Uttarakhand),0.007148484622713143,6,5,11.085662267397945,9.282143235087457,0.05555555555555555,1.8476103778996575,0.013207614375180922
IND303702AAB,Chomu_ShsmlDPP_D (Rajasthan),0.0060416148172337215,1,2,2.1842105263157894,3.480875831485588,0.3333333333333333,2.1842105263157894,0.013196158679747338
IND400072AAB,Mumbai Hub (Maharashtra),0.004996699358341033,11,9,28.77270604201329,22.339741075917548,0.07692307692307693,2.6157005492739356,0.013069869256169363
IND605010AAB,Pondicherry_Vasanthm_I (Pondicherry),0.0071587884590691995,2,3,3.503083247687564,5.671521777913704,0.0,1.751541623843782,0.012538915962352192
IND244235AAA,Gajraula_JawaharN_D (Uttar Pradesh),0.006770413088725543,1,1,1.8429752066115703,0.8786407766990292,0.0,1.8429752066115703,0.012477703461039637
IND788026AAC,Silchar_Sirikona_H (Assam),0.004790095001371203,4,4,10.349904273412943,8.821953000471956,0.19047619047619047,2.5874760683532356,0.012394256181186447
IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),0.0061768357576439835,8,8,16.0140913751626,16.675002053050836,0.15555555555555556,2.001761421895325,0.012364551529035308
IND487551AAA,Gadarwara_MPward_D (Madhya Pradesh),0.005853371653036541,2,1,3.8784183296378423,1.9392091648189211,0.0,1.9392091648189211,0.011350911954659738
IND464668AAA,Bareli_SourvDPP_D (Madhya Pradesh),0.005843860419477105,1,1,1.9392091648189211,1.9392091648189211,0.0,1.9392091648189211,0.011332467683372547
IND332001AAB,Sikar_FatehpRd_I (Rajasthan),0.006418101145628082,3,6,5.2838237350432475,10.7762850890541,0.08333333333333333,1.7612745783477493,0.011304038389059308
IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),0.005563873481571193,4,12,8.037383890372412,22.678122661529873,0.21794871794871795,2.009345972593103,0.011179746772212644
IND174001AAA,BilaspurHP_Indsarea_D (Himachal Pradesh),0.0023932641443932074,2,1,9.306323362362741,2.566951566951567,0.0,4.653161681181371,0.011136245009635792
IND500039AAC,Hyderabad_Uppal_I (Telangana),0.00477226143844726,5,4,11.468242389794113,15.112840862840862,0.047619047619047616,2.293648477958823,0.010945890184716141
IND125005AAA,Hisar_IndstlAr_I (Haryana),0.00563806896645778,4,5,7.7568366592756846,9.683843958545758,0.14285714285714285,1.9392091648189211,0.010933395011636069
IND691001AAB,Kollam_Central_H_1 (Kerala),0.005568827249050066,2,4,3.810166441745389,6.557447633667146,0.0,1.9050832208726944,0.010609079352103926
IND431603AAA,Nanded_Aswningr_I (Maharashtra),0.00479841733073571,4,4,8.725513616817965,8.483277591973245,0.09523809523809523,2.1813784042044913,0.010467163939627436
IND583101AAA,Bellary_Dc (Karnataka),0.003992340286573468,3,2,7.6613239224803,4.503875968992247,0.16666666666666666,2.5537746408267665,0.010195537381402388
IND570020AAA,Mysore_Yadvgiri_IP (Karnataka),0.002851784862237708,3,3,10.716953242835595,7.330385635407157,0.06666666666666667,3.5723177476118653,0.010187481675742622
IND444005AAB,Akola_Gaurkshn_I (Maharashtra),0.0043759600401374055,3,3,6.9596320725086365,6.624727702375948,0.1,2.319877357502879,0.010151690614452155
IND121004AAB,FBD_Balabhgarh_DPC (Haryana),0.004059181078009753,8,6,19.972397883241257,11.747061854173923,0.07142857142857142,2.496549735405157,0.01013394744626687
IND523002AAA,Ongole_SubhVRTL_I (Andhra Pradesh),0.006298993703940814,3,5,4.821700279652044,9.1614197950686,0.14285714285714285,1.6072334265506811,0.010123953234605961
IND422011AAD,Nashik_TgrniaRD_I (Maharashtra),0.004774639246837119,2,3,4.183007713935549,5.479458437047723,0.0,2.0915038569677744,0.009986176400389544
IND784176AAA,Bishwanath_ChrliDPP_D (Assam),0.003940821104793186,1,1,2.5272938443670148,1.9392091648189211,1.0,2.5272938443670148,0.009959612919895437
IND502286AAB,Narayankhed_Datatrya_D (Telangana),0.00393051726843713,1,1,2.4285714285714284,2.1875,0.0,2.4285714285714284,0.00954554193763303
IND335513AAA,Hanumangarh_DC (Rajasthan),0.004786924590184725,3,3,5.804687712673706,6.0982085141749005,0.06666666666666667,1.9348959042245688,0.009262200783380296
IND431517AAB,Ambajogai_BnsllNgr_D (Maharashtra),0.0031426700885971407,1,1,2.933333333333333,2.768272113943029,0.0,2.933333333333333,0.009218498926551612
IND390022AAA,Vadodara_Karelibaug_DPC (Gujarat),0.0044821444392031855,5,4,9.927785927081306,7.604627190990827,0.26666666666666666,1.9855571854162608,0.008899554097333421
IND611001AAA,Nagapttinm_Sttyapar_D (Tamil Nadu),0.0027820358161351737,1,1,3.1944444444444446,2.34375,0.0,3.1944444444444446,0.008887058857098472
IND000000AFT,Mumbai_Sanpada_I (Maharashtra),0.003594057381272064,5,7,12.24769536019536,16.48165124349335,0.047619047619047616,2.449539072039072,0.00880378398257635
IND754103AAA,Jagatsghpr_Markndpr_D (Orissa),0.0008100400581453412,1,1,10.703832752613243,1.9392091648189211,0.0,10.703832752613243,0.00867053330530484
IND502220AAC,Zahirabad_Mohim_D (Telangana),0.003921006034877693,1,1,2.1875,1.317829457364341,0.0,2.1875,0.008577200701294953
IND202001AAB,Aligarh_KhirByps_I (Uttar Pradesh),0.0031710320586695036,4,4,10.770677057816055,8.360896725225995,0.26666666666666666,2.6926692644540138,0.00853854056097771
IND201007AAA,GZB_Mohan_Nagar_DPC (Uttar Pradesh),0.003736099351024373,7,4,15.719755819627942,8.677754677754677,0.19047619047619047,2.2456794028039915,0.008390081359424794
IND721306AAA,Kharagpur_DC (West Bengal),0.00398599946420051,3,3,6.2664133138052485,5.923872875092387,0.06666666666666667,2.088804437935083,0.008325973370428888
IND205001AAB,Mainpuri_Agraroad_I (Uttar Pradesh),0.003643595056060796,3,4,6.815811728921485,8.918237250554323,0.19047619047619047,2.2719372429738285,0.008278019306179838
IND783301AAA,Dhubri_Tetultol_D (Assam),0.0035690903931785436,2,1,4.595459164818921,1.9090909090909087,0.0,2.2977295824094606,0.008200804578699752
IND610001AAA,Thiruvarur_Bypasrd_D (Tamil Nadu),0.003562353269407276,2,2,4.59612843551797,3.7775824175824173,0.16666666666666666,2.298064217758985,0.008186516579441595
IND600044AAD,Chennai_Chrompet_DPC (Tamil Nadu),0.0031902262563943233,5,5,12.799698577284785,13.861508989095196,0.2,2.5599397154569568,0.008166786895037397
IND784168AAB,Gohpur_Central_D_1 (Assam),0.004153634955685578,3,2,5.817627494456763,4.466503009185936,0.3,1.9392091648189211,0.008054766973377706
IND605601AAA,Villupuram_Thirumtr_IP (Tamil Nadu),0.0047778096580235975,3,3,4.971483358635061,5.5217194416070825,0.0,1.6571611195450204,0.007917600401863395
IND000000AAS,Bongaigaon_Chpaguri_D (Assam),0.0031926040647841823,1,1,2.4646938775510203,1.7666666666666666,0.0,2.4646938775510203,0.007868791691918075
