rank,center,name,legs_out,breaches,legs_in,breaches_in,breach_rate,network_breach_share_pct,recoverable_breaches,revenue_at_risk_rs,revenue_recoverable_rs,betweenness,in_degree,out_degree,avg_incoming_delay_factor,bottleneck_score,clustering,rankable
0,IND742101AAC,Baharampur_Chuanpur_I (West Bengal),26,17,34.0,24.0,0.6538461538461539,0.2200932159502848,10.0,8500.0,5000.0,0.0094523167515543,6.0,6.0,2.7720325700549195,0.0262021298977843,0.0545454545454545,False
0,IND742401AAA,Ghanashyampur_NditaDPP_D (West Bengal),17,17,6.0,2.0,1.0,0.2200932159502848,12.0,8500.0,6000.0,0.0015764869624765,1.0,2.0,2.1538461538461537,0.0033955103807188,0.0,False
0,IND851127AAA,Manjhaul_Purbari_D (Bihar),20,17,16.0,6.0,0.85,0.2200932159502848,12.0,8500.0,6000.0,0.0011928672089126,1.0,2.0,1.8461538461538465,0.0022022163856849,0.0,False
0,IND175018AAA,SundarNgr_Bhogpur_D (Himachal Pradesh),16,16,15.0,14.0,1.0,0.20714655618850336,12.0,8000.0,6000.0,0.0023837529108337,1.0,1.0,2.566951566951567,0.0061189782696901,0.0,False
0,IND224141AAB,Gosainganj_Pakrela_D (Uttar Pradesh),17,16,13.0,12.0,0.9411764705882353,0.20714655618850336,11.0,8000.0,5500.0,3.963013983098538e-07,1.0,1.0,3.037962962962963,1.2039489702357689e-06,0.0,False
0,IND274301AAB,Kaptanganj_Subshngr_D (Uttar Pradesh),16,16,15.0,8.0,1.0,0.20714655618850336,12.0,8000.0,6000.0,0.0011984154284889,3.0,1.0,2.077119835369477,0.0024892524575273,0.3333333333333333,False
0,IND395009AAA,Surat_Central_D_12 (Gujarat),16,16,4.0,3.0,1.0,0.20714655618850336,12.0,8000.0,6000.0,0.0,1.0,1.0,2.1538461538461537,0.0,0.0,False
0,IND421502AAA,Mumbai_Ambernath_Dc (Maharashtra),17,16,0.0,0.0,0.9411764705882353,0.20714655618850336,11.0,8000.0,5500.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0,IND431001AAB,Aurangabad_Pratpngr_D (Maharashtra),18,16,0.0,0.0,0.8888888888888888,0.20714655618850336,11.0,8000.0,5500.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0,IND462042AAA,Bhopal_Kolar Mandakni (Madhya Pradesh),17,16,2.0,2.0,0.9411764705882353,0.20714655618850336,11.0,8000.0,5500.0,0.0,1.0,1.0,2.1538461538461537,0.0,0.0,False
