source_center,destination_center,route_type,overall_median_factor,total_trips,median_osrm_dist,median_osrm_time,pct_delayed
IND000000ACB,IND600056AAB,FTL,1.8605590062111803,14,2190.2241,1610.0,1.0
IND000000ACB,IND712311AAA,FTL,2.032003219425158,48,1427.93005,1016.0,1.0
IND000000ACB,IND751002AAB,FTL,2.0403087478559176,15,1638.6996,1167.0,1.0
IND000000ACB,IND821115AAB,FTL,2.0533625066393597,18,900.8994499999999,646.0,1.0
IND000000ACB,IND834002AAB,FTL,1.8854289071680377,16,1192.90015,851.0,1.0
IND000000ACB,IND842001AAA,FTL,2.047425474254742,19,995.4546,737.0,1.0
IND000000ACK,IND501359AAF,Carting,3.2739130434782613,32,25.954900000000002,21.0,1.0
IND000000ACN,IND501359AAF,Carting,2.284313725490196,16,21.381,18.0,1.0
IND000000ACT,IND000000ACB,Carting,1.6744186046511629,43,42.7567,41.0,0.9534883720930233
IND000000ACT,IND000000ACB,FTL,1.2093023255813953,57,43.7548,43.0,0.5263157894736842
IND000000ACT,IND131028AAB,Carting,1.648148148148148,39,43.3454,56.0,0.9487179487179487
IND000000ACT,IND160002AAC,FTL,2.0372340425531914,21,226.1991,188.0,1.0
IND000000ADM,IND683511AAA,Carting,3.3076923076923075,1,24.4293,26.0,1.0
IND000000ADV,IND600044AAC,Carting,2.0533428165007113,18,47.5303,37.0,1.0
IND000000AEL,IND000000ACB,Carting,1.8448275862068968,17,63.1293,58.0,1.0
IND000000AEM,IND110037AAB,Carting,4.421052631578948,11,39.8704,39.0,1.0
IND000000AEM,IND110064AAB,Carting,2.092592592592593,11,53.1621,55.0,1.0
IND000000AET,IND000000AAS,FTL,2.4646938775510203,8,68.7217,48.5,1.0
IND000000AFF,IND734203AAA,FTL,4.842105263157895,3,27.8663,19.0,1.0
IND000000AFG,IND673027AAB,FTL,1.826086956521739,1,41.4264,46.0,1.0
IND000000AFG,IND673632AAA,FTL,2.3541666666666665,3,42.6643,48.0,1.0
IND000000AFJ,IND695121AAA,Carting,1.08,20,18.366799999999998,26.0,0.15
IND000000AFJ,IND695572AAB,Carting,2.2222222222222223,1,22.1852,27.0,1.0
IND000000AFR,IND683511AAA,Carting,2.0615530303030303,8,30.16375,32.0,1.0
IND000000AFT,IND400072AAB,Carting,1.973684210526316,10,21.138600000000004,19.0,1.0
IND000000AFT,IND400706AAA,Carting,5.222222222222222,1,18.1351,18.0,1.0
IND000000AFT,IND410206AAA,Carting,6.187179487179487,2,18.41255,14.0,1.0
IND000000AFT,IND410206AAB,Carting,3.117647058823529,1,20.5299,17.0,1.0
IND000000AFT,IND410209AAA,Carting,2.2857142857142856,40,17.56525,14.0,1.0
IND000000AFT,IND410210AAA,Carting,2.875,13,17.6222,16.0,1.0
IND000000AFT,IND421302AAG,Carting,2.523809523809524,15,23.4977,21.0,1.0
IND110014AAA,IND110024AAA,Carting,3.4415584415584415,10,11.13665,10.0,1.0
IND110020AAB,IND110037AAM,Carting,3.937747035573123,4,26.3062,23.5,1.0
IND110024AAA,IND110014AAA,Carting,2.723214285714286,6,9.3819,7.0,1.0
IND110030AAD,IND000000ACB,Carting,3.106382978723404,7,45.9485,47.0,1.0
IND110035AAC,IND110037AAM,Carting,1.6666666666666667,3,20.9077,19.0,1.0
IND110037AAK,IND000000ACB,Carting,2.1842105263157894,43,38.7407,38.0,1.0
IND110037AAM,IND000000ACB,FTL,1.5424418604651162,12,44.05995,43.0,1.0
IND110037AAM,IND110020AAB,Carting,3.4615384615384617,9,26.3706,25.0,1.0
IND110037AAM,IND110024AAA,Carting,2.68,14,24.7372,23.5,1.0
IND110037AAM,IND110035AAC,Carting,2.2857142857142856,36,18.3518,20.0,0.9166666666666666
IND110037AAM,IND110064AAA,Carting,5.39375,2,14.17905,18.0,1.0
IND110037AAM,IND110085AAB,Carting,2.0217391304347827,22,21.9404,24.0,1.0
IND110037AAM,IND110092AAC,Carting,2.193548387096774,1,27.751,31.0,1.0
IND110037AAM,IND121004AAB,Carting,2.1555299539170507,46,28.836100000000002,27.0,1.0
IND110037AAM,IND125001AAA,FTL,4.015037593984962,1,164.5073,133.0,1.0
IND110037AAM,IND131028AAB,Carting,2.210526315789474,1,44.0332,57.0,1.0
IND110037AAM,IND201001AAC,Carting,2.0612244897959187,8,42.266099999999994,49.0,0.875
IND110037AAM,IND201007AAA,Carting,2.492016806722689,6,30.137050000000002,34.5,1.0
IND110037AAM,IND201301AAD,Carting,4.567567567567568,3,32.6532,37.0,1.0
IND110037AAM,IND201301AAF,Carting,2.1538461538461537,5,35.1773,39.0,1.0
IND110037AAM,IND202001AAB,FTL,1.7954382826475848,26,152.92115,129.0,1.0
IND110037AAM,IND209304AAA,FTL,2.1167664670658684,25,464.8352,335.0,1.0
IND110037AAM,IND226004AAC,FTL,1.8293333333333333,1,489.2995,375.0,1.0
IND110037AAM,IND250002AAC,FTL,8.724184782608695,2,90.25325000000001,94.0,0.5
IND110037AAM,IND282001AAA,FTL,2.0405405405405403,4,202.20735000000002,149.0,1.0
IND110037AAM,IND282001AAC,FTL,2.1059602649006623,1,202.6035,151.0,1.0
IND110037AAM,IND282002AAD,FTL,1.966887417218543,1,206.0601,151.0,1.0
IND110037AAM,IND421302AAG,FTL,1.9914744232698098,18,1367.7746,997.0,1.0
IND110037AAM,IND781018AAB,FTL,2.5083459787556905,1,1809.2888,1318.0,1.0
IND110037AAM,IND811399AAA,FTL,2.1333333333333333,11,32.1178,36.0,0.7272727272727273
IND110039AAA,IND110085AAB,Carting,3.733333333333333,3,13.4506,15.0,1.0
IND110043AAA,IND000000ACB,Carting,5.05,5,39.2406,38.0,1.0
IND110043AAA,IND110078AAA,Carting,1.7,33,18.4287,21.0,0.9393939393939394
IND110043AAC,IND000000ACB,Carting,1.6206896551724137,1,55.6689,58.0,1.0
IND110044AAB,IND000000ACB,Carting,1.7295698924731182,76,65.2376,61.0,1.0
IND110044AAB,IND110030AAD,Carting,1.5857142857142859,30,13.43895,15.0,0.9666666666666667
IND110044AAB,IND110037AAM,Carting,2.0476190476190474,3,24.686,23.0,1.0
IND110044AAB,IND131028AAB,Carting,1.623219373219373,40,43.1777,52.0,1.0
IND110044AAB,IND201007AAA,Carting,2.5217391304347827,11,19.7873,23.0,1.0
IND110044AAB,IND201301AAF,Carting,1.9126984126984128,12,12.69995,14.0,1.0
IND110052AAA,IND000000ACB,Carting,1.6617866004962778,10,67.77295000000001,63.5,1.0
IND110064AAA,IND000000ACB,Carting,2.076923076923077,39,56.9809,53.0,1.0
IND110064AAA,IND110005AAA,Carting,3.0,1,10.6435,11.0,1.0
IND110078AAA,IND110043AAA,Carting,2.732919254658385,14,19.388849999999998,21.0,1.0
IND110083AAA,IND110085AAB,Carting,2.9411764705882355,1,14.7983,17.0,1.0
IND110085AAB,IND000000ACB,Carting,2.6984126984126986,7,67.5514,64.0,1.0
IND110085AAB,IND110039AAA,Carting,1.738095238095238,4,13.5774,16.0,0.5
IND110085AAB,IND110083AAA,Carting,4.0,3,11.9201,15.0,1.0
IND110085AAB,IND110085AAA,Carting,2.076923076923077,1,11.4111,13.0,1.0
IND110085AAB,IND110087AAA,Carting,2.0,3,11.7553,13.0,0.6666666666666666
IND110092AAC,IND000000ACB,Carting,2.1962391513982644,6,69.1793,68.0,1.0
IND110092AAC,IND110093AAA,Carting,3.25,1,12.8317,16.0,1.0
IND110093AAA,IND110092AAC,Carting,3.2222222222222223,1,15.547,18.0,1.0
IND110095AAB,IND000000ACB,Carting,1.5211267605633805,1,71.6641,71.0,1.0
IND121001AAA,IND121004AAB,Carting,2.0,23,12.153,11.0,1.0
IND121002AAA,IND121004AAB,Carting,19.08333333333333,1,11.2338,12.0,1.0
IND121002AAB,IND000000ACB,Carting,2.09375,29,75.7733,65.0,1.0
IND121004AAA,IND121004AAB,Carting,2.3833333333333333,10,17.5154,14.5,1.0
IND121004AAB,IND000000ACB,Carting,1.809090909090909,34,75.9811,65.0,1.0
IND121004AAB,IND110037AAM,Carting,2.583333333333333,37,28.2936,25.0,1.0
IND121004AAB,IND121001AAA,Carting,1.809090909090909,22,11.4816,10.5,1.0
IND121004AAB,IND121002AAA,Carting,2.909090909090909,1,10.3547,11.0,1.0
IND121004AAB,IND121004AAA,Carting,1.75,23,16.5446,12.0,1.0
IND121004AAB,IND121004AAC,Carting,1.8461538461538465,9,16.6152,13.0,1.0
IND121004AAB,IND121102AAA,Carting,1.9310344827586208,41,39.8523,28.0,1.0
IND121004AAC,IND121004AAB,Carting,4.095588235294118,6,16.565800000000003,12.5,1.0
IND121102AAA,IND121004AAB,Carting,3.992857142857143,12,40.2281,29.0,1.0
